epoch,loss,validation_loss
0.0,0.010077820159494877,0.00012440548744052649
1.0,0.0003554469731170684,0.00012825778685510159
2.0,0.0002920769329648465,8.108589827315882e-05
3.0,0.000253093836363405,5.506783418240957e-05
4.0,0.00021964685583952814,0.00020971587218809873
5.0,0.00023962293926160783,3.9276168536162004e-05
6.0,0.00020516981021501124,4.989365334040485e-05
7.0,0.00028990861028432846,7.25271602277644e-05
8.0,0.00013548934657592326,5.268799213808961e-05
9.0,0.00010535406181588769,4.637761594494805e-05
10.0,0.00019670531037263572,4.7160006943158805e-05
11.0,9.703179239295423e-05,5.6168406445067376e-05
12.0,0.00013677205424755812,3.725722854142077e-05
13.0,9.600371413398534e-05,3.331306288600899e-05
14.0,0.00010480688797542825,3.76023308490403e-05
15.0,0.00010297000699210912,3.4983451769221574e-05
16.0,8.58323837746866e-05,2.693115675356239e-05
17.0,7.881159399403259e-05,2.9581182388938032e-05
18.0,9.027650230564177e-05,3.116301741101779e-05
19.0,0.00012864619202446193,0.00016156354104168713
20.0,5.25742543686647e-05,2.8227501388755627e-05
21.0,7.026112143648788e-05,2.4796150682959706e-05
22.0,7.494843885069713e-05,4.0467239159625024e-05
23.0,7.20105308573693e-05,8.305175288114697e-05
24.0,5.507753667188808e-05,2.217062865383923e-05
25.0,7.089152495609596e-05,6.309559830697253e-05
26.0,6.810679769841954e-05,9.364975267089903e-05
27.0,5.195557969273068e-05,2.918720019806642e-05
28.0,5.577208867180161e-05,7.364110206253827e-05
29.0,6.02900363446679e-05,8.271859405795112e-05
30.0,6.0884805861860514e-05,5.484941357281059e-05
31.0,4.700591307482682e-05,3.19435384881217e-05
32.0,5.0283855671295896e-05,7.125928823370486e-05
33.0,5.438370499177836e-05,9.200754720950499e-05
34.0,4.512123632594012e-05,4.6820889110676944e-05
35.0,6.168583786347881e-05,0.00018805815489031374
36.0,3.927816214854829e-05,6.466783088399097e-05
37.0,4.800775786861777e-05,7.318629650399089e-05
38.0,4.2616324208211154e-05,6.406758620869368e-05
39.0,4.275885294191539e-05,6.851459329482168e-05
40.0,4.227718454785645e-05,7.339753210544586e-05
41.0,4.037301187054254e-05,6.560701149282977e-05
42.0,4.022543362225406e-05,5.769016934209503e-05
43.0,4.055045428685844e-05,6.323782145045698e-05
44.0,3.843563899863511e-05,6.274235784076154e-05
45.0,3.8599428080487996e-05,6.117250450188294e-05
46.0,3.727830699062906e-05,6.263980321818963e-05
47.0,3.668900899356231e-05,6.335374928312376e-05
48.0,3.5862172808265314e-05,6.247813871596009e-05
49.0,3.549874236341566e-05,5.38437016075477e-05
50.0,3.494310294627212e-05,3.7737820093752816e-05
51.0,3.8867387047503144e-05,0.00017940338875632733
