epoch,learning_rate,validation_loss_Beta_Enth
0.0,0.0015848932089284062,0.00729417335242033
1.0,0.0015683840028941631,0.004072880372405052
2.0,0.0015520467422902584,0.0024756190832704306
3.0,0.0015358797973021865,0.001959232147783041
4.0,0.0015198810724541545,0.001955402083694935
5.0,0.0015040490543469787,0.0016218464588746428
6.0,0.0014883819967508316,0.0010638892417773604
7.0,0.001472878153435886,0.001017809729091823
8.0,0.0014575357781723142,0.0009685451514087617
9.0,0.0014423532411456108,0.0008538841502740979
10.0,0.0014273286797106266,0.0011451493483036757
11.0,0.0014124608132988214,0.000530063989572227
12.0,0.0013977477792650461,0.00088485237210989
13.0,0.0013831880642101169,0.0009582321508787572
14.0,0.0013687798054888844,0.00041930697625502944
15.0,0.0013545218389481306,0.0005331267602741718
16.0,0.001340412301942706,0.00031374950776807964
17.0,0.001326449797488749,0.00031599978683516383
18.0,0.0013126326957717538,0.0003377400862518698
19.0,0.0012989594833925366,0.0002398978394921869
20.0,0.0012854287633672357,0.0007271043141372502
21.0,0.0012720389058813453,0.00020624774333555251
22.0,0.0012587886303663254,0.0005321039934642613
23.0,0.0012456763070076704,0.0004835741128772497
24.0,0.0012327005388215184,0.0006318483501672745
25.0,0.0012198600452393293,0.0005131743964739144
26.0,0.0012071531964465976,0.0001935256295837462
27.0,0.0011945788282901049,0.00010590605961624533
28.0,0.0011821354273706675,0.0001126074930652976
29.0,0.0011698215967044234,0.0001256027608178556
30.0,0.0011576359393075109,0.00013812296674586833
31.0,0.0011455774074420333,0.00010242168355034664
32.0,0.0011336442548781633,0.00014919249224476516
33.0,0.0011218355502933264,0.0001221728016389534
34.0,0.0011101498967036605,0.00019510519632603973
35.0,0.0010985858971253037,0.00010102489613927901
36.0,0.0010871423874050379,0.0010772842215374112
37.0,0.001075817970559001,9.194589802064002e-05
38.0,0.0010646117152646184,0.00022624836128670722
39.0,0.0010535219917073846,0.00012277999485377222
40.0,0.001042547868564725,8.556935790693387e-05
41.0,0.0010316881816834211,5.390434671426192e-05
42.0,0.0010209414176642895,6.137943273643032e-05
43.0,0.0010103066451847553,4.0708397136768326e-05
44.0,0.0009997827000916004,0.00011345820530550554
45.0,0.0009893683018162847,4.3266180000500754e-05
46.0,0.0009790625190362334,4.046751928399317e-05
47.0,0.0009688640129752457,0.0003704279661178589
48.0,0.0009587717358954251,0.0001326344208791852
49.0,0.0009487845818512142,0.00013552095333579928
50.0,0.0009389015031047165,6.923805631231517e-05
51.0,0.0009291213355027139,6.843869778094813e-05
52.0,0.0009194430313073099,7.047011604299769e-05
53.0,0.0009098656009882689,9.311070607509464e-05
54.0,0.0009003878221847117,0.00015558177256025374
55.0,0.0008910088217817247,4.099936631973833e-05
56.0,0.0008817275520414114,0.00011573662050068378
57.0,0.0008725430234335363,3.76328534912318e-05
58.0,0.0008634540718048811,0.0003376569948159158
59.0,0.0008544597658328712,5.6679888075450435e-05
60.0,0.0008455592324025929,0.000456446927273646
61.0,0.0008367513655684888,0.0009526915964670479
62.0,0.0008280352340079844,0.00013459858018904924
63.0,0.0008194099646061659,0.00021249038400128484
64.0,0.0008108744514174759,8.934833749663085e-05
65.0,0.0008024278795346618,8.602977322880179e-05
66.0,0.0007940693758428097,7.958466449053958e-05
67.0,0.0007857978343963623,0.00024372759799007326
68.0,0.0007776124984957278,5.558414704864845e-05
69.0,0.0007695124368183315,0.00011830032599391416
70.0,0.0007614967180415988,8.790361607680097e-05
71.0,0.000753564469050616,7.399947207886726e-05
72.0,0.0007457149331457913,3.2565134461037815e-05
73.0,0.0007379470625892282,0.00015165754302870482
74.0,0.0007302602170966566,9.394784865435213e-05
75.0,0.000722653407137841,7.72707790019922e-05
76.0,0.0007151258178055286,3.724297130247578e-05
77.0,0.0007076765759848058,4.548983270069584e-05
78.0,0.0007003049831837416,0.001444346271455288
79.0,0.0006930102244950831,2.6230947696603835e-05
80.0,0.0006857913685962558,4.349321898189373e-05
81.0,0.0006786477752029896,6.490625673905015e-05
82.0,0.0006715785712003708,0.00011383824312360957
83.0,0.0006645829998888075,3.931425453629345e-05
84.0,0.0006576603627763689,0.0003993961727246642
85.0,0.0006508097285404801,6.568455864908174e-05
86.0,0.0006440305151045322,9.859843703452498e-05
87.0,0.0006373218493536115,7.91350903455168e-05
88.0,0.0006306831492111087,2.3583119400427677e-05
89.0,0.0006241135997697711,4.243650982971303e-05
90.0,0.0006176124443300068,9.25253116292879e-05
91.0,0.0006111790426075459,7.137793727451935e-05
92.0,0.0006048126379027963,4.757293208967894e-05
93.0,0.0005985125317238271,5.569561108131893e-05
94.0,0.0005922780255787075,7.140445814002305e-05
95.0,0.0005861085373908281,6.61561862216331e-05
96.0,0.0005800032522529364,0.0002450472966302186
97.0,0.000573961588088423,2.483926982677076e-05
98.0,0.000567982904613018,7.61852425057441e-05
99.0,0.0005620663869194686,3.6817946238443255e-05
100.0,0.0005562116275541484,3.391861537238583e-05
101.0,0.0005504177534021437,4.84513548144605e-05
102.0,0.0005446842988021672,3.09143761114683e-05
103.0,0.0005390105070546269,0.0021373480558395386
104.0,0.0005333958542905748,2.0244713596184738e-05
105.0,0.0005278397002257407,0.0003466819762252271
106.0,0.0005223413463681936,0.00014046330761630088
107.0,0.0005169003852643073,2.6141698981518857e-05
108.0,0.0005115160020068288,0.00022746832109987736
109.0,0.0005061877309344709,3.193386146449484e-05
110.0,0.0005009149899706244,0.000654550502076745
111.0,0.0004956971970386803,3.5515244235284626e-05
112.0,0.0004905337118543684,1.8159878891310655e-05
113.0,0.0004854240105487406,3.6856836231891066e-05
114.0,0.0004803675692528486,9.918834985001013e-05
115.0,0.0004753637476824224,3.8478741771541536e-05
116.0,0.0004704120510723442,3.3114116376964375e-05
117.0,0.00046551195555366576,4.66345991299022e-05
118.0,0.0004606629372574389,2.2087881006882526e-05
119.0,0.000455864385003224,2.0629997379728593e-05
120.0,0.00045111580402590334,1.3623784980154596e-05
121.0,0.0004464167286641896,7.697072578594089e-05
122.0,0.0004417665477376431,3.0772742320550606e-05
123.0,0.00043716488289646804,1.4289159480540548e-05
124.0,0.0004326110938563943,2.6454261387698352e-05
125.0,0.00042810477316379547,2.1923682652413845e-05
126.0,0.0004236453678458929,0.0002670516259968281
127.0,0.00041923238313756883,3.888127685058862e-05
128.0,0.00041486541158519685,1.418035571987275e-05
129.0,0.00041054398752748966,1.3158834008208942e-05
130.0,0.0004062674706801772,1.8789651221595705e-05
131.0,0.000402035511797294,2.3693128241575323e-05
132.0,0.00039784767432138324,3.0380067983060144e-05
133.0,0.00039370349259115756,1.1066847946494818e-05
134.0,0.0003896024136338383,1.1639446711342316e-05
135.0,0.0003855440590996295,1.5607880413881503e-05
136.0,0.0003815280506387353,1.5614004951203242e-05
137.0,0.0003775538061745465,1.2528422303148545e-05
138.0,0.0003736209764610976,2.1873456717003137e-05
139.0,0.00036972909583710134,1.225840242113918e-05
140.0,0.0003658778150565922,9.835493983700871e-06
141.0,0.0003620665811467916,2.1503527023014612e-05
142.0,0.00035829507396556437,1.6263978977804072e-05
143.0,0.00035456291516311467,5.8071615057997406e-05
144.0,0.00035086952266283333,1.9821647583739832e-05
145.0,0.0003472146636340767,1.6545393009437248e-05
146.0,0.00034359784331172705,1.4272777661972214e-05
147.0,0.00034001877065747976,3.722910332726315e-05
148.0,0.0003364768926985562,7.953223757795058e-06
149.0,0.00033297191839665174,1.7004877008730546e-05
150.0,0.0003295035567134619,1.9311059077153914e-05
151.0,0.00032607122557237744,2.0911029423587024e-05
152.0,0.00032267466303892434,6.51849913992919e-05
153.0,0.00031931346165947616,1.125510152633069e-05
154.0,0.00031598733039572835,2.456030597386416e-05
155.0,0.00031269583269022405,7.5735742939286865e-06
156.0,0.00030943856108933687,1.1372948392818216e-05
157.0,0.0003062153118662536,7.317407835216727e-06
158.0,0.00030302556115202606,4.68692905997159e-06
159.0,0.00029986907611601055,1.1945220649067778e-05
160.0,0.00029674542020075023,4.770391569763888e-06
161.0,0.0002936543896794319,5.7563698646845296e-05
162.0,0.00029059548978693783,8.626840099168476e-06
163.0,0.0002875684585887939,1.4149722119327635e-05
164.0,0.00028457300504669547,6.897447292431025e-06
165.0,0.00028160872170701623,7.237332283693831e-06
166.0,0.0002786752884276211,1.4619301509810612e-05
167.0,0.0002757724141702056,3.3572898246347904e-05
168.0,0.0002728998370002955,1.7449956430937164e-05
169.0,0.0002700571494642645,7.783382898196578e-06
170.0,0.000267244060523808,5.7385641412111e-06
171.0,0.0002644603082444519,1.0355968697695062e-05
172.0,0.0002617055142764002,8.36108301882632e-06
173.0,0.0002589794166851789,1.2831364074372686e-05
174.0,0.0002562817244324833,6.828415280324407e-06
175.0,0.0002536121755838394,5.9741423683590256e-06
176.0,0.0002509703626856208,7.071161689964356e-06
177.0,0.0002483561111148447,4.701428224507254e-06
178.0,0.00024576912983320653,2.36794712691335e-05
179.0,0.00024320901138707995,1.3478801520250272e-05
180.0,0.00024067559570539743,1.1491857549117412e-05
181.0,0.00023816856264602393,6.04245951763005e-06
