    "Time(sec)"   ,     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,"LinSolIter",    "LinSolRes"   ,       "CD"       , "avg_temp_outlet","avg_temp_outlet_scaled","avg_p_center_inlet","avg_p_cocenter_inlet",   "avg_p_inlet"  ,"avg_p_inlet_scaled"
       0.121552008,-6.065087026430855,-5.905206250150641,-7.052353878287513,-0.8612080907228693,           7,-3.200448582519074,0.1751326808850283,               300,      0.3924075786299875, -0.5653599320097457,   -0.6186158451455569,-0.5919878885776513, -0.1356885650946943
0.08171841699999993,-6.152002003354271,-4.501610048597635, -5.47858396845847,0.2086265223695862,           5,-3.356946020966152,0.08958881284452311,               300,      0.3924075786299875, -0.9373518304749673,    -1.029114203806714,-0.9832330171408405, -0.2253652140926659
0.08718293199999994,-6.374324313155098,-4.981115137747365,-6.184508077950251,-0.3122525235761582,           6,-3.330275898943948,0.05788409448705313,               300,      0.3924075786299875,  -1.139266076857118,     -1.25512421822752,-1.197195147542319, -0.2744071202176968
0.08537253099999997,-6.467078678854262,-5.288760869504774, -6.53173170589521,-0.5994846689128734,           6,-3.122720638279725,0.04330600308438397,               300,      0.3924075786299875,  -1.240141482343869,    -1.370801548759714,-1.305471515551792, -0.2992249674952315
0.08634198000000004,-6.521907598100727,-5.475058477736749,-6.662929767326203,-0.755207597777687,           6,-3.017361256114344,0.03518068650229262,               300,      0.3924075786299875,  -1.287472343214136,    -1.426025452675103, -1.35674889794462, -0.3109781715268409
0.09503114199999985,-6.559485834610317,-5.601448101977581,-6.740559865497156,-0.8536962199424614,           7,-3.308876366506977,0.02998463462947328,               300,      0.3924075786299875,  -1.308233485936522,    -1.448950302017846,-1.378591893977184, -0.3159847685302846
0.09255105000000019,-6.586611893249501,-5.696248751936185,-6.797369370301653,-0.9227326785950088,           7,-3.288560192404018,0.0263402890048308,               300,      0.3924075786299875,   -1.31704849778362,     -1.45490059331703,-1.385974545550325, -0.3176769338902219
0.1008845350000001,-6.608165287110205,-5.772004206883977,-6.835081529879793,-0.9747289155481406,           7,-3.294780270020802,0.02361688198292398,               300,      0.3924075786299875,  -1.321470579776737,    -1.451897229870939,-1.386683904823838, -0.3178395249563852
0.09431799600000002,-6.626813308441899, -5.83507766711977,-6.858918545734519,-1.016143907769443,           7,-3.322021432709939,0.02148774068624078,               300,      0.3924075786299875,  -1.325308408630625,    -1.444394062895401,-1.384851235763013, -0.3174194619112539
0.09333718600000007,-6.644026345387805,-5.889084056234227,-6.877118828344532,-1.050622639298251,           7,-3.353962754010468,0.01976809176801119, 300.0000000000001,      0.3924075786299875,  -1.330316105688025,    -1.434744033238113,-1.382530069463069, -0.3168874312216695
0.09157619099999992,-6.660642981031775,-5.936281338713073,-6.894433585056986,-1.080327402942057,           7, -3.36800503102406,0.01834639905156277, 300.0000000000001,      0.3924075786299875,  -1.337438362310717,    -1.424172545212079,-1.380805453761398, -0.3164921349083247
0.0956886589999999,-6.675626829129532,-5.978205167038771,-6.911556852764018,-1.106003654005887,           7,-3.382403796487938,0.01714837118890364, 300.0000000000001,      0.3924075786299875,  -1.346706660682586,    -1.414335179595458,-1.380520920139022, -0.3164269174272135
0.09513575200000002,-6.689018401424256,-6.015893872846575,-6.928292724901377,-1.128380742860932,           7,-3.393308242611674,0.01612321320655621, 300.0000000000001,      0.3924075786299875,  -1.357444866392016,    -1.406991308446282,-1.382218087419149, -0.3168159223332419
0.09576635800000011,-6.701160751586163,-6.050064647276487,-6.942728603131767, -1.14820703261739,           7,-3.400252722388584,0.01523486109849355, 300.0000000000001,      0.3924075786299876,  -1.368276334853827,    -1.403748516215991,-1.386012425534909, -0.3176856162988543
0.08531115300000014,-6.712651161844082,-6.081195425227959,-6.952385514589708,-1.166279881627055,           6,-3.001789765969157,0.01445691564009652, 300.0000000000002,      0.3924075786299877,  -1.377283248146782,    -1.405762518943128,-1.391522883544955, -0.3189486592678484
0.08774962399999975,-6.724124315180004,-6.109599817379948,-6.955534695822831,-1.183368574451752,           6,-3.009304019817841,0.01376960147247844, 300.0000000000003,      0.3924075786299879,   -1.38231882589944,    -1.413454712793851,-1.397886769346645, -0.3204073150098309
0.08692519500000007,-6.736041617972423,-6.135509139741199,-6.952249809778509,-1.200079404692766,           6,-3.020608724890733,0.01315770453358195, 300.0000000000009,      0.3924075786299887,  -1.381442250964949,    -1.426456594988524,-1.403949422976737, -0.3217969258238456
0.08630662099999986,-6.748574624013748,-6.159122858387094,-6.944351114405167,-1.216761275482467,           6,-3.036461476703876,0.01260933311293724, 300.0000000000029,      0.3924075786299913,  -1.373336527932125,    -1.443682564200315, -1.40850954606622,  -0.322842144097067
0.08740401799999997,-6.761642656739184, -6.18064295964119,-6.934361479563166,-1.233525206885986,           6,-3.056608961096194,0.01211503633707397, 300.0000000000087,      0.3924075786299989,   -1.35761104670407,    -1.463530930979785,-1.410570988841927, -0.3233146439871115
0.08838967799999997,-6.775036912267455,-6.200280902349945,-6.924375839740456,-1.250340226494725,           6,-3.079547124856754,0.0116671913840365,  300.000000000025,      0.3924075786300202,  -1.334916081442809,    -1.484156385623083,-1.409536233532946, -0.3230774694336976
0.08630610099999991,-6.788554577401642, -6.21825003226376,-6.915566619099129,-1.267145367953471,           6,-3.102482241168815,0.0112595692392734,  300.000000000069,      0.3924075786300776,  -1.306855252935483,    -1.503761050976866,-1.405308151956175, -0.3221083578465774
0.08516436000000027,-6.802074491208038,-6.234755967917127,-6.908293003282532,-1.283919731924977,           6,-3.121625168957606,0.01088702050841157, 300.0000000001824,       0.392407578630226,  -1.275738253765704,    -1.520852691414602,-1.398295472590153, -0.3205009932044885
0.08949773299999997, -6.81555270462527,-6.249992266020724,-6.902467384545875,-1.300687361538196,           6,-3.133200694118435,0.01054524417783214, 300.0000000004629,       0.392407578630593,  -1.244248804092612,    -1.534427016762731,-1.389337910427671, -0.3184478451924675
0.08557083299999979,-6.828962158773145,-6.264142730535808,-6.897902160923786,-1.317472230909833,           6,-3.134963487799279,0.01023061481200737, 300.0000000011307,      0.3924075786314664,  -1.215101782413317,    -1.544044940751774,-1.379573361582545, -0.3162097290972623
0.08693092599999996,-6.842222596017606,-6.277386852589251, -6.89451458564256,-1.334239256646816,           6,-3.127180685936729,0.009940051555477929, 300.0000000026628,      0.3924075786334704,  -1.190744728865547,    -1.549796211912619,-1.370270470389083, -0.3140774287890484
0.08717775199999966,-6.855160363186852,-6.289903634366484,-6.892380113689362,-1.350855207248816,           6,-3.112026565102237,0.00967091764882522, 300.0000000060593,      0.3924075786379131,  -1.173129138693942,    -1.552163316857583,-1.362646227775762, -0.3123298887462599
0.08651242799999981,-6.867518328237172,-6.301869925923878,-6.891684713990455,-1.367088968718279,           6, -3.09194470245056,0.009420945456150118, 300.0000000133462,      0.3924075786474446,  -1.163554638633392,    -1.551820809134507, -1.35768772388395, -0.3111933582680552
0.08876033299999975,-6.879005574997201,-6.313452746644677, -6.89263771479717,-1.382650912435992,           6,-3.068990327286429,0.00918817148206749, 300.0000000284982,      0.3924075786672638,  -1.162586892637751,    -1.549415090070259,-1.356000991354005, -0.3108067450938624
0.08717155899999973,-6.889380369646764,-6.324798057926673,-6.895401677621531,-1.397263937269441,           6,-3.044708333277435,0.008970886693727941, 300.0000000590778,      0.3924075787072627,  -1.170028863399347,    -1.545371889052757,-1.357700376226052,  -0.311196258290468
0.08807933900000009, -6.89852452367295,-6.336020903193964,-6.900050799040548,-1.410737984957642,           6,-3.020034061364123,0.008767597082315658, 300.0000001190524,       0.392407578785711,  -1.184949424843188,    -1.539765142447237,-1.362357283645212, -0.3122636603398627
0.09294782499999954,-6.906479283434807,-6.347201190512687,-6.906564280269438,-1.423018284680553,           7,-3.357336266463406,0.008577001780239834, 300.0000002335864,      0.3924075789355244,  -1.205748902075777,    -1.532266613676662,-1.369007757876219, -0.3137880045418578
0.0921848350000003,-6.913427120794739,-6.358387824592266,-6.914849679968855,-1.434186735086206,           7,-3.333032989121457,0.008397927774529664,  300.000000446434,      0.3924075792139344,  -1.230289208551697,    -1.522186897819799,-1.376238053185748, -0.3154452485745322
0.09536719900000001,-6.919624370485752,-6.369603227303846,-6.924751178534472,-1.444411620565593,           7,-3.308642723059394,0.008229361264852124, 300.0000008314938,      0.3924075797176023,  -1.256042902363584,    -1.508565827693023,-1.382304365028303, -0.3168356978813769
0.09354792200000084,-6.925322165380369,-6.380857769780838, -6.93608459220525,-1.453876943547995,           7,-3.285000124337094,0.00807040563776092,  300.000001505839,      0.3924075805996629,  -1.280276091015088,    -1.490317836066472, -1.38529696354078, -0.3175216264381894
0.09350024999999995,-6.930701823440368,-6.392154485945163,-6.948637584784485,-1.462716766200037,           7,-3.263196324568891,0.007920266831442426, 300.0000026511138,      0.3924075820977114,  -1.300242725197324,    -1.466389857567344,-1.383316291382334,  -0.317067639847774
0.09080464300000024,-6.935851000464505,-6.403491702812059,-6.962159669108123,-1.470983527223181,           7,-3.243400632782339,0.007778246176909769,   300.00000453928,      0.3924075845674804,   -1.31338263016704,    -1.435892155162663,-1.374637392664852, -0.3150783638232141
0.09259657800000021,-6.940770278109855,-6.414863018453998,-6.976344505349759,-1.478653366354619,           7,-3.225769559288217,0.007643724607493189, 300.0000075678631,      0.3924075885289436,  -1.317483624794222,    -1.398198640140634,-1.357841132467428, -0.3112285207958148
