epoch,learning_rate,validation_loss_MolarWeightMix
0.0,0.0015848932089284062,0.00012903565948363394
1.0,0.0015683840028941631,0.00016389480151701719
2.0,0.0015520467422902584,7.912606815807521e-05
3.0,0.0015358797973021865,2.0749648683704436e-05
4.0,0.0015198810724541545,3.808862675214186e-05
5.0,0.0015040490543469787,4.878842082689516e-05
6.0,0.0014883819967508316,7.778677536407486e-05
7.0,0.001472878153435886,2.3062146283336915e-05
8.0,0.0014575357781723142,1.3755626241618302e-05
9.0,0.0014423532411456108,3.581332566682249e-05
10.0,0.0014273286797106266,1.855440677900333e-05
11.0,0.0014124608132988214,1.4416086742130574e-05
12.0,0.0013977477792650461,1.2427294677763712e-05
13.0,0.0013831880642101169,1.0905428098340053e-05
14.0,0.0013687798054888844,9.952436812454835e-06
15.0,0.0013545218389481306,6.617430244659772e-06
16.0,0.001340412301942706,1.196905486722244e-05
17.0,0.001326449797488749,1.963754948519636e-05
18.0,0.0013126326957717538,2.3336498998105526e-05
19.0,0.0012989594833925366,2.4896939066820778e-05
20.0,0.0012854287633672357,2.5034245481947437e-05
21.0,0.0012720389058813453,1.3729087186220568e-05
22.0,0.0012587886303663254,6.968425168452086e-06
23.0,0.0012456763070076704,8.758327567193191e-06
24.0,0.0012327005388215184,1.0151470632990822e-05
25.0,0.0012198600452393293,8.689477908774279e-06
26.0,0.0012071531964465976,7.660390110686421e-06
27.0,0.0011945788282901049,6.909572221047711e-06
28.0,0.0011821354273706675,6.246148586797062e-06
29.0,0.0011698215967044234,5.384443284128793e-06
30.0,0.0011576359393075109,4.3186846596654505e-06
31.0,0.0011455774074420333,3.5972416299046017e-06
32.0,0.0011336442548781633,3.1312365535995923e-06
33.0,0.0011218355502933264,3.2082168672786793e-06
34.0,0.0011101498967036605,2.637589659570949e-06
35.0,0.0010985858971253037,2.8789236239390448e-06
36.0,0.0010871423874050379,2.863666395569453e-06
37.0,0.001075817970559001,3.1923598271532683e-06
38.0,0.0010646117152646184,3.637617737695109e-06
39.0,0.0010535219917073846,5.2251243687351234e-06
40.0,0.001042547868564725,6.780477633583359e-06
41.0,0.0010316881816834211,6.984414540056605e-06
42.0,0.0010209414176642895,6.581643447134411e-06
43.0,0.0010103066451847553,6.366673005686607e-06
44.0,0.0009997827000916004,5.874235284863971e-06
45.0,0.0009893683018162847,5.887275619897991e-06
46.0,0.0009790625190362334,5.6522994782426395e-06
47.0,0.0009688640129752457,5.230685928836465e-06
48.0,0.0009587717358954251,4.79021991850459e-06
49.0,0.0009487845818512142,4.423552582011325e-06
50.0,0.0009389015031047165,4.118941888009431e-06
51.0,0.0009291213355027139,3.81979634767049e-06
52.0,0.0009194430313073099,3.5475379718263866e-06
53.0,0.0009098656009882689,3.285836783106788e-06
54.0,0.0009003878221847117,2.9954983347124653e-06
55.0,0.0008910088217817247,2.6991824597644154e-06
56.0,0.0008817275520414114,2.4185194433812285e-06
57.0,0.0008725430234335363,2.1762671167380176e-06
58.0,0.0008634540718048811,1.9793692445091438e-06
59.0,0.0008544597658328712,1.8143412034987705e-06
60.0,0.0008455592324025929,1.669607740950596e-06
61.0,0.0008367513655684888,1.5474169003937277e-06
62.0,0.0008280352340079844,1.4481411199085414e-06
63.0,0.0008194099646061659,1.3757725128016318e-06
64.0,0.0008108744514174759,1.3266013638713048e-06
65.0,0.0008024278795346618,1.2947889445058536e-06
66.0,0.0007940693758428097,1.2824502846342511e-06
67.0,0.0007857978343963623,1.2763207450916525e-06
68.0,0.0007776124984957278,1.246220790562802e-06
69.0,0.0007695124368183315,1.210506979987258e-06
70.0,0.0007614967180415988,1.1742447441065451e-06
71.0,0.000753564469050616,1.1395779893064173e-06
72.0,0.0007457149331457913,1.106816512219666e-06
73.0,0.0007379470625892282,1.073477051249938e-06
74.0,0.0007302602170966566,1.0409455626358977e-06
75.0,0.000722653407137841,1.0100012559632887e-06
76.0,0.0007151258178055286,9.787984254217008e-07
77.0,0.0007076765759848058,9.460625278734369e-07
78.0,0.0007003049831837416,9.150020332526765e-07
79.0,0.0006930102244950831,8.857354032443254e-07
80.0,0.0006857913685962558,8.605356924817897e-07
81.0,0.0006786477752029896,8.381567795368028e-07
82.0,0.0006715785712003708,8.187770959011687e-07
83.0,0.0006645829998888075,8.011647310013359e-07
84.0,0.0006576603627763689,7.846860512472631e-07
85.0,0.0006508097285404801,7.696333454987325e-07
86.0,0.0006440305151045322,7.548609346486046e-07
87.0,0.0006373218493536115,7.4059681764993e-07
88.0,0.0006306831492111087,7.268681656569242e-07
89.0,0.0006241135997697711,7.132907171580882e-07
90.0,0.0006176124443300068,7.000285222602542e-07
91.0,0.0006111790426075459,6.867103365948424e-07
92.0,0.0006048126379027963,6.733259851898765e-07
93.0,0.0005985125317238271,6.606304623346659e-07
94.0,0.0005922780255787075,6.477491183431994e-07
95.0,0.0005861085373908281,6.353898243105505e-07
96.0,0.0005800032522529364,6.230885105651396e-07
97.0,0.000573961588088423,6.118409032751515e-07
98.0,0.000567982904613018,6.020039222676132e-07
99.0,0.0005620663869194686,5.935322633376927e-07
100.0,0.0005562116275541484,5.86491239573661e-07
101.0,0.0005504177534021437,5.826074129799963e-07
102.0,0.0005446842988021672,5.825245921187161e-07
103.0,0.0005390105070546269,5.868580501555698e-07
104.0,0.0005333958542905748,5.974188184154627e-07
105.0,0.0005278397002257407,6.169989319460001e-07
106.0,0.0005223413463681936,6.323020329546125e-07
107.0,0.0005169003852643073,6.280374691414181e-07
108.0,0.0005115160020068288,6.206324769664207e-07
109.0,0.0005061877309344709,6.115949418017408e-07
110.0,0.0005009149899706244,6.00209602907853e-07
111.0,0.0004956971970386803,5.887787892788765e-07
