epoch,learning_rate,validation_loss_Beta_MixFrac
0.0,0.0015848932089284062,0.0002645021886564791
1.0,0.0015683840028941631,0.00013482954818755388
2.0,0.0015520467422902584,5.5013613746268675e-05
3.0,0.0015358797973021865,6.77619464113377e-05
4.0,0.0015198810724541545,0.00011459967936389148
5.0,0.0015040490543469787,4.243207513354719e-05
6.0,0.0014883819967508316,0.00034862279426306486
7.0,0.001472878153435886,2.0077948647667654e-05
8.0,0.0014575357781723142,1.970082666957751e-05
9.0,0.0014423532411456108,4.2250572732882574e-05
10.0,0.0014273286797106266,1.3319979188963771e-05
11.0,0.0014124608132988214,9.578890967532061e-06
12.0,0.0013977477792650461,3.130283948848955e-05
13.0,0.0013831880642101169,1.8006157915806398e-05
14.0,0.0013687798054888844,1.334908574790461e-05
15.0,0.0013545218389481306,2.2567863197764382e-05
16.0,0.001340412301942706,1.875622729130555e-05
17.0,0.001326449797488749,9.069774932868313e-06
18.0,0.0013126326957717538,4.3954274588031694e-05
19.0,0.0012989594833925366,2.009001218539197e-05
20.0,0.0012854287633672357,7.429109246004373e-06
21.0,0.0012720389058813453,6.173871497594519e-06
22.0,0.0012587886303663254,9.894894901663065e-06
23.0,0.0012456763070076704,6.281381956796395e-06
24.0,0.0012327005388215184,6.380354989232728e-06
25.0,0.0012198600452393293,5.986954874970252e-06
26.0,0.0012071531964465976,5.437287654785905e-06
27.0,0.0011945788282901049,5.707176569558214e-06
28.0,0.0011821354273706675,7.868831744417548e-06
29.0,0.0011698215967044234,5.94903895034804e-06
30.0,0.0011576359393075109,8.792454536887817e-06
31.0,0.0011455774074420333,2.413984839222394e-05
32.0,0.0011336442548781633,6.6549268922244664e-06
33.0,0.0011218355502933264,5.572576810664032e-06
34.0,0.0011101498967036605,7.439632099703886e-06
35.0,0.0010985858971253037,1.607894228072837e-05
36.0,0.0010871423874050379,6.446603038057219e-06
37.0,0.001075817970559001,1.0745710824267007e-05
38.0,0.0010646117152646184,6.029118594597094e-06
39.0,0.0010535219917073846,6.968140496610431e-06
40.0,0.001042547868564725,5.724328275391599e-06
41.0,0.0010316881816834211,6.326716174953617e-06
42.0,0.0010209414176642895,7.814400305505842e-06
43.0,0.0010103066451847553,1.1753456419683062e-05
44.0,0.0009997827000916004,1.2901749869342893e-05
45.0,0.0009893683018162847,4.832837475987617e-06
46.0,0.0009790625190362334,4.961438662576256e-06
47.0,0.0009688640129752457,4.792694198840763e-06
48.0,0.0009587717358954251,5.277030140860006e-06
49.0,0.0009487845818512142,4.3233749238424934e-06
50.0,0.0009389015031047165,1.0538219612499233e-05
51.0,0.0009291213355027139,5.762750333815347e-06
52.0,0.0009194430313073099,1.8449569324729964e-05
53.0,0.0009098656009882689,7.100043603713857e-06
54.0,0.0009003878221847117,4.482729764276883e-06
55.0,0.0008910088217817247,7.482780802092748e-06
56.0,0.0008817275520414114,6.248810223041801e-06
57.0,0.0008725430234335363,7.436563919327455e-06
58.0,0.0008634540718048811,4.753427219839068e-06
59.0,0.0008544597658328712,4.475045443541603e-06
60.0,0.0008455592324025929,4.8882366172620095e-06
61.0,0.0008367513655684888,6.294877039181301e-06
62.0,0.0008280352340079844,4.782526957569644e-06
63.0,0.0008194099646061659,5.21295942235156e-06
64.0,0.0008108744514174759,1.54302306327736e-05
65.0,0.0008024278795346618,4.550785888568498e-06
66.0,0.0007940693758428097,6.819399004598381e-06
67.0,0.0007857978343963623,4.777867616212461e-06
68.0,0.0007776124984957278,4.458674993657041e-06
69.0,0.0007695124368183315,4.340452960605035e-06
70.0,0.0007614967180415988,7.151022600737633e-06
71.0,0.000753564469050616,9.025377039506566e-06
72.0,0.0007457149331457913,4.2879273678408936e-06
73.0,0.0007379470625892282,5.4747797548770905e-06
74.0,0.0007302602170966566,8.483789315505419e-06
75.0,0.000722653407137841,8.227174475905485e-06
76.0,0.0007151258178055286,5.16732416144805e-06
77.0,0.0007076765759848058,4.634666765923612e-06
78.0,0.0007003049831837416,1.2826104466512334e-05
79.0,0.0006930102244950831,6.222617685125442e-06
80.0,0.0006857913685962558,4.4486569095170125e-06
81.0,0.0006786477752029896,5.272155704005854e-06
82.0,0.0006715785712003708,1.2157654964539688e-05
83.0,0.0006645829998888075,1.1900383469765075e-05
84.0,0.0006576603627763689,5.689204954251181e-06
85.0,0.0006508097285404801,5.669888651027577e-06
86.0,0.0006440305151045322,4.093655661563389e-06
87.0,0.0006373218493536115,4.125184204895049e-06
88.0,0.0006306831492111087,5.753998721047537e-06
89.0,0.0006241135997697711,7.783170076436363e-06
90.0,0.0006176124443300068,6.372791176545434e-06
91.0,0.0006111790426075459,6.0528909671120346e-06
92.0,0.0006048126379027963,4.6794357331236824e-06
93.0,0.0005985125317238271,6.055521680536913e-06
94.0,0.0005922780255787075,4.108795110369101e-06
95.0,0.0005861085373908281,4.729412921733456e-06
96.0,0.0005800032522529364,5.789022452518111e-06
97.0,0.000573961588088423,4.04362936023972e-06
98.0,0.000567982904613018,3.748866220121272e-06
99.0,0.0005620663869194686,9.04151238501072e-06
100.0,0.0005562116275541484,6.21785602561431e-06
