epoch,learning_rate,validation_loss_Beta_MixFrac
0.0,0.0015848932089284062,0.0004577843064907938
1.0,0.0015683840028941631,8.226035424740985e-05
2.0,0.0015520467422902584,7.577735232189298e-05
3.0,0.0015358797973021865,0.00014221378660295159
4.0,0.0015198810724541545,0.00019879473256878555
5.0,0.0015040490543469787,3.191104042343795e-05
6.0,0.0014883819967508316,7.15689966455102e-05
7.0,0.001472878153435886,0.0001105629198718816
8.0,0.0014575357781723142,3.612828368204646e-05
9.0,0.0014423532411456108,2.7723970561055467e-05
10.0,0.0014273286797106266,4.8244688514387235e-05
11.0,0.0014124608132988214,2.5835259293671697e-05
12.0,0.0013977477792650461,2.8192580430186354e-05
13.0,0.0013831880642101169,0.00014500526594929397
14.0,0.0013687798054888844,2.3747583327349275e-05
15.0,0.0013545218389481306,2.6329489628551528e-05
16.0,0.001340412301942706,2.384630533924792e-05
17.0,0.001326449797488749,2.6751073164632544e-05
18.0,0.0013126326957717538,0.00019394671835470945
19.0,0.0012989594833925366,2.6933688786812127e-05
20.0,0.0012854287633672357,2.6061541575472802e-05
21.0,0.0012720389058813453,2.5167360945488326e-05
22.0,0.0012587886303663254,2.5994038878707215e-05
23.0,0.0012456763070076704,2.2917647584108636e-05
24.0,0.0012327005388215184,2.2267795429797843e-05
25.0,0.0012198600452393293,2.4482091248501092e-05
26.0,0.0012071531964465976,2.1305580958141945e-05
27.0,0.0011945788282901049,2.4321891032741405e-05
28.0,0.0011821354273706675,2.3827624318073504e-05
29.0,0.0011698215967044234,2.3438840798917226e-05
30.0,0.0011576359393075109,2.6117788365809247e-05
31.0,0.0011455774074420333,2.1701060177292675e-05
32.0,0.0011336442548781633,2.6783905923366547e-05
33.0,0.0011218355502933264,2.1621845007757656e-05
34.0,0.0011101498967036605,2.1762376491096802e-05
35.0,0.0010985858971253037,2.16320240724599e-05
36.0,0.0010871423874050379,2.1719815777032636e-05
37.0,0.001075817970559001,2.3319493266171776e-05
38.0,0.0010646117152646184,2.16581865970511e-05
39.0,0.0010535219917073846,2.180081901315134e-05
40.0,0.001042547868564725,2.2487176465801895e-05
41.0,0.0010316881816834211,2.15966792893596e-05
42.0,0.0010209414176642895,2.0287137886043638e-05
43.0,0.0010103066451847553,3.2134761568158865e-05
44.0,0.0009997827000916004,4.6917131840018556e-05
45.0,0.0009893683018162847,4.2613133700797334e-05
46.0,0.0009790625190362334,4.50062143499963e-05
47.0,0.0009688640129752457,2.9835271561751142e-05
48.0,0.0009587717358954251,2.209840386058204e-05
49.0,0.0009487845818512142,2.181166928494349e-05
50.0,0.0009389015031047165,2.441993092361372e-05
51.0,0.0009291213355027139,1.9537787011358887e-05
52.0,0.0009194430313073099,2.4598124582553282e-05
53.0,0.0009098656009882689,2.1517305867746472e-05
54.0,0.0009003878221847117,1.9720169802894816e-05
55.0,0.0008910088217817247,2.0246096028131433e-05
56.0,0.0008817275520414114,3.590198321035132e-05
57.0,0.0008725430234335363,3.046392885153182e-05
58.0,0.0008634540718048811,3.1250150641426444e-05
59.0,0.0008544597658328712,1.9673590941238217e-05
60.0,0.0008455592324025929,2.143185156455729e-05
61.0,0.0008367513655684888,2.890995347115677e-05
62.0,0.0008280352340079844,2.251110527140554e-05
63.0,0.0008194099646061659,1.909350248752162e-05
64.0,0.0008108744514174759,2.5251798433600925e-05
65.0,0.0008024278795346618,1.9503877410897985e-05
66.0,0.0007940693758428097,3.1708230380900204e-05
67.0,0.0007857978343963623,2.496792694728356e-05
68.0,0.0007776124984957278,1.896725552796852e-05
69.0,0.0007695124368183315,2.9716393328271806e-05
70.0,0.0007614967180415988,2.467230115144048e-05
71.0,0.000753564469050616,1.7765061784302816e-05
72.0,0.0007457149331457913,1.8350543541600928e-05
73.0,0.0007379470625892282,1.950138175743632e-05
74.0,0.0007302602170966566,1.916539804369677e-05
75.0,0.000722653407137841,1.868601430032868e-05
76.0,0.0007151258178055286,1.8141523469239473e-05
77.0,0.0007076765759848058,1.6915057130972855e-05
78.0,0.0007003049831837416,1.7536196537548676e-05
79.0,0.0006930102244950831,1.670191159064416e-05
80.0,0.0006857913685962558,1.6872798369149677e-05
81.0,0.0006786477752029896,1.6716203390387818e-05
82.0,0.0006715785712003708,2.6104271455551498e-05
83.0,0.0006645829998888075,1.6927337128436193e-05
84.0,0.0006576603627763689,1.693936064839363e-05
85.0,0.0006508097285404801,2.1333096810849383e-05
86.0,0.0006440305151045322,3.362213828950189e-05
87.0,0.0006373218493536115,1.8418297258904204e-05
88.0,0.0006306831492111087,1.916935980261769e-05
89.0,0.0006241135997697711,1.7207019482157193e-05
