    "Time(sec)"   ,    "rms[A_P]"    ,    "rms[A_U]"    ,    "rms[A_V]"    ,    "rms[A_T]"    ,"LinSolIter",    "LinSolRes"   , "avg_temp_outlet","avg_temp_outlet_scaled","avg_p_center_inlet","avg_p_cocenter_inlet",   "avg_p_inlet"  ,"avg_p_inlet_scaled"
0.08955755499999984,-2.983604859359212,-2.894560183881792,-4.083867618727221,-5.199752420789759,           8,-3.268200227091896,                 0,                       0,                   0,                     0,                 0,                   0
0.08013310600000034,-3.150566846355039, -2.91030897412323, -4.09095262695265,-5.221098380276255,           8,-3.227826951974435,                 0,                       0,                   0,                     0,                 0,                   0
0.08109557200000017, -3.34712749559513,-3.036036409953987,-4.030157262601675,-5.381888746374067,           8,-3.213230078269108,                 0,                       0,                   0,                     0,                 0,                   0
0.08261819800000003, -3.54764682820409,-3.146684973186257,-3.917799630123989,-5.610548035446405,           8, -3.19430609592416,                 0,                       0,                   0,                     0,                 0,                   0
0.08101986599999966,-3.701413581713359,-3.211384634949887,-3.832485556897274,-5.875083227744129,           8,-3.176818560314052,                 0,                       0,                   0,                     0,                 0,                   0
0.08210522899999972,-3.783874134358061,-3.247799120934003,-3.785925359608216,-5.978415294199187,           8,-3.163382468010302,                 0,                       0,                   0,                     0,                 0,                   0
0.08287533300000005, -3.81543694434016, -3.27618002660398,-3.776128309806493,-5.885062930094223,           8,-3.153559088188803,                 0,                       0,                   0,                     0,                 0,                   0
0.08196871499999947,-3.821844393122518,-3.303324447224329,-3.797655883591327,-5.812966106122627,           8,-3.146101012619501,                 0,                       0,                   0,                     0,                 0,                   0
0.08334032000000047,-3.818700998499896,-3.328594889945688,-3.844615209167569,-5.786376581738591,           8,-3.140311444623687,                 0,                       0,                   0,                     0,                 0,                   0
0.08206723500000024,-3.814585806249696,-3.349132464429819,-3.910317864835575,-5.792966092139734,           8,-3.136059140855766,                 0,                       0,                   0,                     0,                 0,                   0
0.08296120899999959, -3.81445873822123,-3.362247644055747,-3.980023222262644,-5.824378656592525,           8, -3.13315763134769,                 0,                       0,                   0,                     0,                 0,                   0
0.08344208499999972,-3.820984364191473,-3.367245730540172,-4.021662924262047,-5.876673292267199,           8,-3.131020276918258,                 0,                       0,                   0,                     0,                 0,                   0
0.0815891139999998,-3.834441624876775,-3.366282833276212, -4.01015560633447,-5.947973362787772,           8,-3.128771831450117,                 0,                       0,                   0,                     0,                 0,                   0
0.0817599729999996,-3.852381144114934,-3.363218031490318,-3.966365666979117, -6.03541073790516,           8,-3.125614336888544,                 0,                       0,                   0,                     0,                 0,                   0
0.08213162000000018,-3.870060984361244,-3.361459530294438,-3.922469173346819,-6.129037673266851,           8,-3.121209276313998,                 0,                       0,                   0,                     0,                 0,                   0
0.08238426700000012,-3.882325800660032,-3.362586531560743,-3.889756688575281, -6.20168492841459,           8,-3.115864983492409,                 0,                       0,                   0,                     0,                 0,                   0
0.0837970600000002,-3.886326512241001,-3.366248949464668,-3.864991226048101,-6.217070438004613,           8,-3.110421412412315,                 0,                       0,                   0,                     0,                 0,                   0
0.08250479900000052,-3.882798025183923,-3.370897944003915,-3.840730817253273,-6.176830944296507,           8,-3.105917554648395,                 0,                       0,                   0,                     0,                 0,                   0
0.08286687699999984,-3.874677703754439,-3.374808683275574,-3.811939408313004,-6.116050290863963,           8,-3.103249127834474,                 0,                       0,                   0,                     0,                 0,                   0
0.08143039800000018,-3.864848224489198,-3.376923270957678,-3.778548226147134,-6.057437034123279,           8,-3.102969350716441,                 0,                       0,                   0,                     0,                 0,                   0
0.08127651099999955,-3.854997966034224,-3.377157422894891,-3.743686856754898,-6.006964598566444,           8,-3.105253795074013,                 0,                       0,                   0,                     0,                 0,                   0
0.08328333000000043,-3.845701956081369,-3.376152825388327,-3.710648987170186,-5.963853520649617,           8, -3.10997085853538,                 0,                       0,                   0,                     0,                 0,                   0
0.08292109200000031,-3.836964983364349,-3.374797150668233,-3.681423844713026,-5.925836573190455,           8,-3.116790926410195,                 0,                       0,                   0,                     0,                 0,                   0
0.08114037899999893,-3.828699483423583,-3.373849327220283,-3.656743108338942,-5.891057202805363,           8,-3.125289326225047,                 0,                       0,                   0,                     0,                 0,                   0
0.0819466129999995,-3.820972576359444,-3.373786892774254,-3.636597613359994,-5.858588028668102,           8,-3.135022254257138,                 0,                       0,                   0,                     0,                 0,                   0
0.0817861630000003,-3.814046917314994,-3.374816965162903,-3.620653084920669,-5.828320541154296,           8,-3.145572757278686,                 0,                       0,                   0,                     0,                 0,                   0
0.08401495999999931,-3.808300551706872,-3.376955404957061, -3.60846233826172,-5.800595655853423,           8,-3.156573913418769,                 0,                       0,                   0,                     0,                 0,                   0
0.08386318700000039, -3.80410657506636,-3.380112403908506,-3.599541034128514,-5.775835496375874,           8,-3.167718683117559,                 0,                       0,                   0,                     0,                 0,                   0
0.08283964399999988,-3.801725993835991,-3.384159587829479,-3.593388446233658,-5.754311456360615,           8,-3.178763184193234,                 0,                       0,                   0,                     0,                 0,                   0
0.08342268800000063,-3.801240347220499,-3.388973860304735,-3.589503519546982,-5.736062335667536,           8,-3.189526331689054,                 0,                       0,                   0,                     0,                 0,                   0
0.08314060399999867,-3.802532071279093,-3.394461205276112,-3.587413755512412,-5.720914620406469,           8,-3.199886463732474,                 0,                       0,                   0,                     0,                 0,                   0
0.08392312199999985,-3.805308914400583,-3.400566335260064,-3.586712954315679, -5.70854876048944,           8,-3.209775111557276,                 0,                       0,                   0,                     0,                 0,                   0
0.08269594699999949,-3.809160889786845,-3.407274136152316,-3.587094680971315,-5.698569701926679,           8,-3.219168543704617,                 0,                       0,                   0,                     0,                 0,                   0
0.08186085700000056, -3.81363298865588,-3.414606954179224,-3.588369041351755, -5.69055765199648,           8,-3.228078148383811,                 0,                       0,                   0,                     0,                 0,                   0
0.08103808100000087,-3.818295002223354,-3.422619067218774,-3.590457285859553,-5.684090592015469,           8, -3.23654070133183,                 0,                       0,                   0,                     0,                 0,                   0
0.08276334700000021,-3.822792780339542,-3.431387996387745,-3.593367392756755,-5.678742518577146,           8,-3.244609217531572,                 0,                       0,                   0,                     0,                 0,                   0
