epoch,learning_rate,validation_loss_Beta_Enth_Thermal,validation_loss_Beta_MixFrac,validation_loss_Beta_ProgVar,validation_loss_MolarWeightMix
0.0,0.0015848932089284062,0.004537338390946388,0.0008405453991144896,0.001170813455246389,0.007038397714495659
1.0,0.0015683735255151987,0.001672048936598003,0.0001486708497395739,0.0008070358308032155,0.0022166376002132893
2.0,0.0015520260203629732,0.0008372836164198816,7.0117341238074e-05,0.0006159743061289191,0.001106554176658392
3.0,0.0015358489472419024,0.0004911600262857974,4.464192898012698e-05,0.0005822345847263932,0.0006452203379012644
4.0,0.0015198404435068369,0.0003182829241268337,7.282435399247333e-05,0.0005092525389045477,0.000426666927523911
5.0,0.001503998995758593,0.00022691268532071263,8.15388048067689e-05,0.0005070813349448144,0.00033391243778169155
6.0,0.0014883223921060562,0.00018685692339204252,8.955982775660232e-05,0.00047944526886567473,0.0002821965899784118
7.0,0.0014728093519806862,0.000179682087036781,4.9981652409769595e-05,0.0004615970829036087,0.0003008699568454176
8.0,0.0014574580127373338,0.00019116757903248072,7.456971070496365e-05,0.00044205141603015363,0.000278070307103917
9.0,0.0014422665117308497,0.00018002395518124104,0.00010683517757570371,0.0005256403819657862,0.0003498712321743369
10.0,0.001427233568392694,0.00011662385804811493,6.02645923208911e-05,0.0004291619115974754,0.0002830414450727403
11.0,0.0014123572036623955,0.00017812318401411176,8.446255378657952e-05,0.00045980335562489927,0.00022294635709840804
12.0,0.0013976359041407704,0.00010684310109354556,5.0265680329175666e-05,0.0003267003921791911,0.00017899162776302546
13.0,0.0013830680400133133,0.00010177383956033736,5.622551907435991e-05,0.000323358312016353,0.0001880385825643316
14.0,0.0013686519814655185,0.00010652249329723418,4.953717143507674e-05,0.00034502241760492325,0.00018862112483475357
15.0,0.001354386331513524,9.697000496089458e-05,4.497462941799313e-05,0.0002872876066248864,0.000161902658874169
16.0,0.0013402693439275026,9.23094485187903e-05,4.2952953663188964e-05,0.000282804190646857,0.00015775766223669052
17.0,0.0013262993888929486,0.0001534592011012137,4.72719912067987e-05,0.00030335545307025313,0.00015561924374196678
18.0,0.001312475185841322,8.728638931643218e-05,3.853350426652469e-05,0.00028022407786920667,0.00014079015818424523
19.0,0.0012987948721274734,8.560077549191192e-05,6.328149902401492e-05,0.00024390489852521569,0.00010553832544246688
20.0,0.0012852572835981846,0.00010373268014518544,7.458664185833186e-05,0.0004405473009683192,0.00017925738939084113
21.0,0.00127186079043895,7.790719246258959e-05,4.5281431084731594e-05,0.000254301616223529,0.00016593837062828243
22.0,0.001258603879250586,7.670578634133562e-05,3.406278483453207e-05,0.00022843007172923535,0.00014215349801816046
23.0,0.0012454852694645524,7.434639701386914e-05,3.5861234209733084e-05,0.0002625113702379167,0.00011427678691688925
24.0,0.0012325033312663436,9.554139251122251e-05,3.2481304515386e-05,0.0002611868258100003,0.00013422824849840254
25.0,0.0012196566676720977,7.175400241976604e-05,3.4509070246713236e-05,0.00023795623565092683,0.00014128931798040867
26.0,0.0012069439981132746,0.00011037248623324558,0.00011580083082662895,0.0003028701466973871,0.0002587714698165655
27.0,0.0011943636927753687,0.00013119757932145149,3.467589704087004e-05,0.00024911182117648423,0.00010723467130446807
28.0,0.0011819147039204836,0.00011521686246851459,3.941775867133401e-05,0.0003996349114459008,0.00021314543846528977
29.0,0.0011695952853187919,7.461503992090002e-05,1.740764855640009e-05,0.00021993828704580665,7.063310476951301e-05
30.0,0.001157404389232397,6.183053483255208e-05,2.6446952688274905e-05,0.00020758390019182116,9.380216215504333e-05
31.0,0.0011453405022621155,9.49329260038212e-05,1.8370477846474387e-05,0.00021393717906903476,6.883012974867597e-05
32.0,0.001133402343839407,9.795304504223168e-05,2.954521005449351e-05,0.00023867178242653608,8.501109550707042e-05
33.0,0.0011215887498110533,7.01899261912331e-05,1.5381636330857873e-05,0.00020721566397696733,3.8491853047162294e-05
34.0,0.0011098980903625488,7.626335718668997e-05,0.00013543783279601485,0.0002531666250433773,8.734384755371138e-05
35.0,0.0010983295505866408,0.00010107208072440699,1.6604852135060355e-05,0.000263482826994732,3.593057772377506e-05
36.0,0.001086881384253502,8.181684097507969e-05,2.8160380679764785e-05,0.00023713074915576726,3.786429078900255e-05
37.0,0.0010755525436252356,5.4504282161360607e-05,3.021813608938828e-05,0.00017713637498673052,3.675450352602638e-05
38.0,0.0010643418645486236,5.4452859330922365e-05,1.1472842743387446e-05,0.00018736300989985466,3.0248225812101737e-05
39.0,0.001053247950039804,5.264299034024589e-05,1.2114803212170955e-05,0.00018110987730324268,2.5655224817455746e-05
40.0,0.0010422697523608804,5.783055166830309e-05,5.5990592954913154e-05,0.0001870376872830093,4.160269963904284e-05
41.0,0.0010314059909433126,6.66776395519264e-05,1.0507277693250217e-05,0.0001737505226628855,2.8016302167088725e-05
42.0,0.0010206553852185607,4.906414687866345e-05,2.1791622202727012e-05,0.0001808463130146265,3.4140783100156114e-05
43.0,0.001010016887448728,5.3708972700405866e-05,1.3011583178013097e-05,0.00017738371388986707,2.567765477579087e-05
44.0,0.0009994893334805965,4.527568307821639e-05,1.5838351828278974e-05,0.0001468514819862321,2.462139855197165e-05
45.0,0.0009890715591609478,6.571719131898135e-05,1.1764455848606303e-05,0.00020038419461343437,3.0224484362406656e-05
46.0,0.00097876216750592,5.5232747399713844e-05,1.738365062919911e-05,0.00015229001292027533,2.4274648239952512e-05
47.0,0.0009685604018159211,5.507053720066324e-05,2.393844442849513e-05,0.00015494330727960914,2.4382834453717805e-05
48.0,0.0009584648651070893,4.278447886463255e-05,1.6063146176747978e-05,0.00013501349894795567,2.3762002456351183e-05
49.0,0.0009484745096415281,3.893410030286759e-05,1.5487226846744306e-05,0.00016471120761707425,2.6178715415881015e-05
50.0,0.0009385884623043239,4.847473246627487e-05,1.0450883564772084e-05,0.0001314671681029722,5.5456133850384504e-05
51.0,0.0009288053843192756,4.04983147745952e-05,1.1221824934182223e-05,0.0001395662984577939,2.1989335436956026e-05
52.0,0.0009191242279484868,3.874947287840769e-05,4.2645369831006974e-05,0.00014508650929201394,3.036390626220964e-05
53.0,0.0009095440036617219,4.2384181142551824e-05,1.0191563887929078e-05,0.0001499357895227149,2.7069510906585492e-05
54.0,0.0009000636055134237,6.299054075498134e-05,1.9265697119408287e-05,0.00020226249762345105,2.4880340788513422e-05
55.0,0.0008906821021810174,4.651105700759217e-05,9.136848348134663e-06,0.0001733205426717177,2.1333209588192403e-05
56.0,0.0008813983295112848,3.7673238693969324e-05,9.776283150131349e-06,0.00013834908895660192,2.1058962374809198e-05
57.0,0.0008722112979739904,3.828648550552316e-05,1.2410651834215969e-05,0.00014572626969311386,2.2356949557433836e-05
58.0,0.0008631200762465596,0.00010322875459678471,5.9159800002817065e-05,0.00025934353470802307,2.5942334104911424e-05
59.0,0.0008541236165910959,3.6212310078553855e-05,8.884171620593406e-06,0.00011959124094573781,2.4297200070577674e-05
60.0,0.0008452209876850247,5.756796963396482e-05,2.330932875338476e-05,0.0002069225301966071,2.734487861744128e-05
61.0,0.0008364109671674669,3.7304747820599005e-05,1.0332772035326343e-05,0.00012907633208669722,2.086635140585713e-05
62.0,0.0008276929147541523,4.5896347728557885e-05,1.4278226444730535e-05,0.00012723765394184738,2.166710874007549e-05
63.0,0.0008190657244995236,4.042160071549006e-05,1.3371870409173425e-05,0.0001226768654305488,1.9097307813353837e-05
64.0,0.0008105284650810063,4.1656981920823455e-05,9.903976206260268e-06,0.00012670968135353178,2.0716017388622276e-05
65.0,0.0008020801469683647,3.3368789445376024e-05,7.791420102876145e-06,0.00014164070307742804,1.9870829419232905e-05
66.0,0.0007937198970466852,3.3292057196376845e-05,7.252165687532397e-06,0.00012773627531714737,2.0667981516453438e-05
67.0,0.0007854467839933932,3.448614006629214e-05,1.2088953553757165e-05,0.00012411050556693226,1.884629273263272e-05
68.0,0.000777259876485914,3.1736650271341205e-05,7.4022832450282294e-06,0.00012197616160847247,1.9525006791809574e-05
69.0,0.0007691583596169949,3.561058474588208e-05,7.467307568731485e-06,0.00013882466009818017,1.9394983610254712e-05
70.0,0.0007611413020640612,3.512486728141084e-05,7.291349902516231e-06,0.00012638662883546203,1.9606681235018186e-05
71.0,0.0007532077725045383,3.630184073699638e-05,1.0263509466312826e-05,0.00013447286619339138,1.931379665620625e-05
72.0,0.0007453568978235126,4.177410664851777e-05,7.965457371028606e-06,0.0001606653822818771,2.1665591702912934e-05
73.0,0.0007375878631137311,3.496789213386364e-05,9.635798051021993e-06,0.00013018008030485362,2.0770183255081065e-05
74.0,0.0007298998534679413,5.3443895012605935e-05,4.110171721549705e-05,0.00018759856175165623,2.1175999791012146e-05
75.0,0.0007222919375635684,3.298388764960691e-05,7.879863005655352e-06,0.00012790574692189693,1.881125172076281e-05
76.0,0.0007147633587010205,7.450857810908929e-05,1.2407786016410682e-05,0.0001283454621443525,2.2025695216143504e-05
77.0,0.000707313243765384,3.362855932209641e-05,9.80292315944098e-06,0.00012753084592986852,1.9349476133356802e-05
78.0,0.000699940777849406,3.6572320823324844e-05,1.6431569747510366e-05,0.0001316525595029816,1.9737648472073488e-05
79.0,0.0006926451460458338,3.0949770007282495e-05,6.641654181294143e-06,0.000121293131087441,1.8529661247157492e-05
80.0,0.0006854255334474146,3.122004272881895e-05,6.335611487884307e-06,0.00012040035653626546,1.8610155166243203e-05
81.0,0.0006782812415622175,3.06327456200961e-05,6.436358034989098e-06,0.00012051862722728401,1.8039731003227644e-05
82.0,0.0006712113972753286,3.0456109016085975e-05,6.236889475985663e-06,0.00012147191591793671,1.8280406948179007e-05
83.0,0.0006642151856794953,3.0028410037630238e-05,7.2018410719465464e-06,0.00011629100481513888,1.8546586943557486e-05
84.0,0.0006572919664904475,3.1827090424485505e-05,1.318927388638258e-05,0.00012717649224214256,2.0011711967526935e-05
85.0,0.0006504408665932715,2.992511508637108e-05,8.76596004673047e-06,0.00012320261157583445,1.8460368664818816e-05
86.0,0.0006436612457036972,2.97317292279331e-05,6.744572146999417e-06,0.00011606379121076316,1.7749629478203133e-05
87.0,0.000636952230706811,3.114154242211953e-05,6.485451194748748e-06,0.0001111293604481034,1.8491777154849842e-05
88.0,0.0006303131231106818,3.2641914003761485e-05,1.220439935423201e-05,0.00012873527884949,1.8049026039079763e-05
89.0,0.0006237432244233787,2.997045339725446e-05,7.5106786425749306e-06,0.00011654416448436677,1.7720451069180854e-05
90.0,0.0006172418361529708,3.578924952307716e-05,9.091208994504996e-06,0.00016464528744108975,1.7351067072013393e-05
