epoch,learning_rate,validation_loss_Beta_Enth
0.0,0.0015848932089284062,0.01064432691782713
1.0,0.0015683840028941631,0.014531591907143593
2.0,0.0015520467422902584,0.01357193011790514
3.0,0.0015358797973021865,0.013154027983546257
4.0,0.0015198810724541545,0.010377367958426476
5.0,0.0015040490543469787,0.008543564938008785
6.0,0.0014883819967508316,0.006348264403641224
7.0,0.001472878153435886,0.006172787863761187
8.0,0.0014575357781723142,0.008079885505139828
9.0,0.0014423532411456108,0.012136041186749935
10.0,0.0014273286797106266,0.0053430283442139626
11.0,0.0014124608132988214,0.004399595316499472
12.0,0.0013977477792650461,0.004837603773921728
13.0,0.0013831880642101169,0.00465411227196455
14.0,0.0013687798054888844,0.0043356395326554775
15.0,0.0013545218389481306,0.0037179479841142893
16.0,0.001340412301942706,0.004387903027236462
17.0,0.001326449797488749,0.0036225554067641497
18.0,0.0013126326957717538,0.004404684063047171
19.0,0.0012989594833925366,0.004733666777610779
20.0,0.0012854287633672357,0.004205684177577496
21.0,0.0012720389058813453,0.004753177519887686
22.0,0.0012587886303663254,0.0036361683160066605
23.0,0.0012456763070076704,0.0035801425110548735
24.0,0.0012327005388215184,0.004092154558748007
25.0,0.0012198600452393293,0.003742351196706295
26.0,0.0012071531964465976,0.005311442539095879
27.0,0.0011945788282901049,0.0032710465602576733
28.0,0.0011821354273706675,0.0034419167786836624
29.0,0.0011698215967044234,0.003151677781715989
30.0,0.0011576359393075109,0.00300794024951756
31.0,0.0011455774074420333,0.0029853021260350943
32.0,0.0011336442548781633,0.0029394407756626606
33.0,0.0011218355502933264,0.0030999560840427876
34.0,0.0011101498967036605,0.002924401545897126
35.0,0.0010985858971253037,0.003049727063626051
36.0,0.0010871423874050379,0.002628121292218566
37.0,0.001075817970559001,0.002600519685074687
38.0,0.0010646117152646184,0.002628294052556157
39.0,0.0010535219917073846,0.0025350835639983416
40.0,0.001042547868564725,0.0024788654409348965
41.0,0.0010316881816834211,0.0024109752848744392
42.0,0.0010209414176642895,0.002553684636950493
43.0,0.0010103066451847553,0.0023996063973754644
44.0,0.0009997827000916004,0.0025308530312031507
45.0,0.0009893683018162847,0.0023451708257198334
46.0,0.0009790625190362334,0.002310663927346468
47.0,0.0009688640129752457,0.0023205960169434547
48.0,0.0009587717358954251,0.002319144085049629
49.0,0.0009487845818512142,0.0022307070903480053
50.0,0.0009389015031047165,0.002733756322413683
51.0,0.0009291213355027139,0.002198709873482585
52.0,0.0009194430313073099,0.002593299373984337
53.0,0.0009098656009882689,0.0020846794359385967
54.0,0.0009003878221847117,0.0025596811901777983
55.0,0.0008910088217817247,0.002038194565102458
56.0,0.0008817275520414114,0.002119546988978982
57.0,0.0008725430234335363,0.0023874943144619465
58.0,0.0008634540718048811,0.0025678148958832026
59.0,0.0008544597658328712,0.002180257113650441
60.0,0.0008455592324025929,0.0020154379308223724
61.0,0.0008367513655684888,0.0019879955798387527
62.0,0.0008280352340079844,0.0019280470442026854
63.0,0.0008194099646061659,0.0020816996693611145
64.0,0.0008108744514174759,0.0019394021946936846
65.0,0.0008024278795346618,0.0020367696415632963
66.0,0.0007940693758428097,0.0018866814207285643
67.0,0.0007857978343963623,0.0019307087641209364
68.0,0.0007776124984957278,0.0019378188299015164
69.0,0.0007695124368183315,0.004620205610990524
70.0,0.0007614967180415988,0.0019264512229710817
71.0,0.000753564469050616,0.002024615416303277
72.0,0.0007457149331457913,0.0019608675502240658
73.0,0.0007379470625892282,0.0019098868360742927
74.0,0.0007302602170966566,0.001817632233723998
75.0,0.000722653407137841,0.0018253952730447054
76.0,0.0007151258178055286,0.0019192926120012999
77.0,0.0007076765759848058,0.0018200913909822702
78.0,0.0007003049831837416,0.0019497552420943975
79.0,0.0006930102244950831,0.0018695597536861897
80.0,0.0006857913685962558,0.0018010715721175075
81.0,0.0006786477752029896,0.0018517576390877366
82.0,0.0006715785712003708,0.0018020194256678224
83.0,0.0006645829998888075,0.003985276445746422
84.0,0.0006576603627763689,0.002351659582927823
85.0,0.0006508097285404801,0.0018987978110089898
86.0,0.0006440305151045322,0.0019553417805582285
87.0,0.0006373218493536115,0.0022680286783725023
88.0,0.0006306831492111087,0.0017912850016728044
89.0,0.0006241135997697711,0.0017359628109261394
90.0,0.0006176124443300068,0.0016944456147029996
91.0,0.0006111790426075459,0.0016702002612873912
92.0,0.0006048126379027963,0.0017652773531153798
93.0,0.0005985125317238271,0.0019241176778450608
94.0,0.0005922780255787075,0.001672708778642118
95.0,0.0005861085373908281,0.001733275130391121
96.0,0.0005800032522529364,0.0016347287455573678
97.0,0.000573961588088423,0.0016280371928587556
98.0,0.000567982904613018,0.002130518900230527
99.0,0.0005620663869194686,0.001658700522966683
100.0,0.0005562116275541484,0.0015530880773440003
101.0,0.0005504177534021437,0.0015802360139787197
102.0,0.0005446842988021672,0.001475267461501062
103.0,0.0005390105070546269,0.0015005714958533645
104.0,0.0005333958542905748,0.0026971912011504173
105.0,0.0005278397002257407,0.0015111827524378896
106.0,0.0005223413463681936,0.0014998235274106264
107.0,0.0005169003852643073,0.0016343093011528254
108.0,0.0005115160020068288,0.001599341630935669
109.0,0.0005061877309344709,0.0015844062436372042
110.0,0.0005009149899706244,0.0015174751169979572
111.0,0.0004956971970386803,0.0014282874763011932
112.0,0.0004905337118543684,0.0014896356733515859
113.0,0.0004854240105487406,0.0015531638637185097
114.0,0.0004803675692528486,0.0014556939713656902
115.0,0.0004753637476824224,0.0014605800388380885
116.0,0.0004704120510723442,0.0014573578955605626
117.0,0.00046551195555366576,0.0014969813637435436
118.0,0.0004606629372574389,0.0014799835626035929
119.0,0.000455864385003224,0.00149228994268924
120.0,0.00045111580402590334,0.001547769526951015
121.0,0.0004464167286641896,0.001605797908268869
122.0,0.0004417665477376431,0.00137427041772753
123.0,0.00043716488289646804,0.0013953257584944367
124.0,0.0004326110938563943,0.0013692257925868034
125.0,0.00042810477316379547,0.0014344751834869385
126.0,0.0004236453678458929,0.0013434720458462834
127.0,0.00041923238313756883,0.0015791065525263548
128.0,0.00041486541158519685,0.001260366290807724
129.0,0.00041054398752748966,0.001292859553359449
130.0,0.0004062674706801772,0.0014410096919164062
131.0,0.000402035511797294,0.0013240224216133356
132.0,0.00039784767432138324,0.00126725307200104
133.0,0.00039370349259115756,0.0012605858501046896
134.0,0.0003896024136338383,0.0013072032015770674
135.0,0.0003855440590996295,0.0012797940289601684
136.0,0.0003815280506387353,0.004548707045614719
137.0,0.0003775538061745465,0.0017699035815894604
138.0,0.0003736209764610976,0.0015202966751530766
139.0,0.00036972909583710134,0.0014606926124542952
140.0,0.0003658778150565922,0.0014581353170797229
141.0,0.0003620665811467916,0.0015040672151371837
142.0,0.00035829507396556437,0.0013872632989659905
143.0,0.00035456291516311467,0.0014003874966874719
144.0,0.00035086952266283333,0.0014016169589012861
145.0,0.0003472146636340767,0.0013949344865977764
