epoch,learning_rate,validation_loss_ProdRateTot_PV
0.0,0.0015848932089284062,0.2271014004945755
1.0,0.0015683840028941631,0.08331640064716339
2.0,0.0015520467422902584,0.05481838062405586
3.0,0.0015358797973021865,0.029228510335087776
4.0,0.0015198810724541545,8.334851264953613
5.0,0.0015040490543469787,0.679989218711853
6.0,0.0014883819967508316,0.12374222278594971
7.0,0.001472878153435886,0.06380537152290344
8.0,0.0014575357781723142,0.03259343281388283
9.0,0.0014423532411456108,0.039295438677072525
10.0,0.0014273286797106266,0.026571907103061676
11.0,0.0014124608132988214,0.031057143583893776
12.0,0.0013977477792650461,0.019478814676404
13.0,0.0013831880642101169,0.011500770226120949
14.0,0.0013687798054888844,0.012989056296646595
15.0,0.0013545218389481306,7.041765213012695
16.0,0.001340412301942706,5.541841506958008
17.0,0.001326449797488749,1.4120193719863892
18.0,0.0013126326957717538,0.08452261239290237
19.0,0.0012989594833925366,0.03604205325245857
20.0,0.0012854287633672357,0.023898232728242874
21.0,0.0012720389058813453,0.015921415761113167
22.0,0.0012587886303663254,0.01618332229554653
23.0,0.0012456763070076704,0.017079515382647514
24.0,0.0012327005388215184,0.014382454566657543
25.0,0.0012198600452393293,0.02385828271508217
26.0,0.0012071531964465976,0.16883090138435364
27.0,0.0011945788282901049,0.008118951693177223
28.0,0.0011821354273706675,0.007811388000845909
29.0,0.0011698215967044234,0.011861794628202915
30.0,0.0011576359393075109,0.009401754476130009
31.0,0.0011455774074420333,0.007079177536070347
32.0,0.0011336442548781633,0.006647174712270498
33.0,0.0011218355502933264,0.009400823153555393
34.0,0.0011101498967036605,0.23015096783638
35.0,0.0010985858971253037,0.0306633822619915
36.0,0.0010871423874050379,0.01576453447341919
37.0,0.001075817970559001,0.009676204062998295
38.0,0.0010646117152646184,0.008655790239572525
39.0,0.0010535219917073846,0.00818618293851614
40.0,0.001042547868564725,0.004074872937053442
41.0,0.0010316881816834211,0.004956180229783058
42.0,0.0010209414176642895,0.004207220394164324
43.0,0.0010103066451847553,0.00410970114171505
44.0,0.0009997827000916004,0.012329456396400928
45.0,0.0009893683018162847,0.004611785523593426
46.0,0.0009790625190362334,0.22430598735809326
47.0,0.0009688640129752457,0.4411202371120453
48.0,0.0009587717358954251,0.1688181757926941
49.0,0.0009487845818512142,0.0959065705537796
50.0,0.0009389015031047165,0.023407556116580963
51.0,0.0009291213355027139,0.013862621039152145
52.0,0.0009194430313073099,0.010060069151222706
53.0,0.0009098656009882689,0.00839334074407816
54.0,0.0009003878221847117,0.005697363521903753
55.0,0.0008910088217817247,0.00759510975331068
56.0,0.0008817275520414114,0.00640981737524271
57.0,0.0008725430234335363,0.0067483969032764435
58.0,0.0008634540718048811,0.006937528029084206
59.0,0.0008544597658328712,0.02211659401655197
60.0,0.0008455592324025929,0.0033133800607174635
61.0,0.0008367513655684888,0.0030340261291712523
62.0,0.0008280352340079844,0.002667398424819112
63.0,0.0008194099646061659,0.008042114786803722
64.0,0.0008108744514174759,0.004072394222021103
65.0,0.0008024278795346618,0.004102801904082298
66.0,0.0007940693758428097,0.0028731217607855797
67.0,0.0007857978343963623,0.006913097109645605
68.0,0.0007776124984957278,0.0017683376790955663
69.0,0.0007695124368183315,0.0038330445531755686
70.0,0.0007614967180415988,0.002117017051205039
71.0,0.000753564469050616,0.09275931864976883
72.0,0.0007457149331457913,0.012541357427835464
73.0,0.0007379470625892282,0.005357752088457346
74.0,0.0007302602170966566,0.00373839121311903
75.0,0.000722653407137841,0.0022052102722227573
76.0,0.0007151258178055286,0.0546778179705143
77.0,0.0007076765759848058,0.0026411907747387886
78.0,0.0007003049831837416,0.0043310984037816525
79.0,0.0006930102244950831,0.04113105311989784
80.0,0.0006857913685962558,0.0024756097700446844
81.0,0.0006786477752029896,0.0013354169204831123
82.0,0.0006715785712003708,0.002640628721565008
83.0,0.0006645829998888075,0.005768480245023966
84.0,0.0006576603627763689,0.05230085179209709
85.0,0.0006508097285404801,0.002112414687871933
86.0,0.0006440305151045322,0.0017928876914083958
87.0,0.0006373218493536115,0.0022727784235030413
88.0,0.0006306831492111087,1.578090786933899
89.0,0.0006241135997697711,0.4510023295879364
90.0,0.0006176124443300068,0.28022879362106323
91.0,0.0006111790426075459,0.15616604685783386
92.0,0.0006048126379027963,0.09000576287508011
93.0,0.0005985125317238271,0.05069424584507942
94.0,0.0005922780255787075,0.029324457049369812
95.0,0.0005861085373908281,0.01825208030641079
96.0,0.0005800032522529364,0.013612755574285984
97.0,0.000573961588088423,0.011802909895777702
98.0,0.000567982904613018,0.008418228477239609
99.0,0.0005620663869194686,0.006317947991192341
100.0,0.0005562116275541484,0.0057334816083312035
101.0,0.0005504177534021437,0.004447666462510824
102.0,0.0005446842988021672,0.006316556129604578
103.0,0.0005390105070546269,0.003343043616041541
104.0,0.0005333958542905748,0.043564993888139725
105.0,0.0005278397002257407,0.01457064226269722
106.0,0.0005223413463681936,0.006999803241342306
107.0,0.0005169003852643073,0.005211294163018465
108.0,0.0005115160020068288,0.004756158217787743
109.0,0.0005061877309344709,0.004223844036459923
110.0,0.0005009149899706244,0.0025401520542800426
111.0,0.0004956971970386803,0.0020226144697517157
112.0,0.0004905337118543684,0.001915234373882413
113.0,0.0004854240105487406,0.0017072564223781228
114.0,0.0004803675692528486,0.00206535286270082
115.0,0.0004753637476824224,0.0017087877495214343
116.0,0.0004704120510723442,0.0019399311859160662
117.0,0.00046551195555366576,0.00154441490303725
118.0,0.0004606629372574389,0.0017518146196380258
119.0,0.000455864385003224,0.0011968138860538602
120.0,0.00045111580402590334,0.0014129872433841228
121.0,0.0004464167286641896,0.0011848226422443986
122.0,0.0004417665477376431,0.0014609916834160686
123.0,0.00043716488289646804,0.001617652247659862
124.0,0.0004326110938563943,0.0010774784022942185
125.0,0.00042810477316379547,0.0013138349168002605
126.0,0.0004236453678458929,0.0015622640494257212
127.0,0.00041923238313756883,0.0013596550561487675
128.0,0.00041486541158519685,0.0012237851042300463
129.0,0.00041054398752748966,0.0012399745173752308
130.0,0.0004062674706801772,0.001287956372834742
131.0,0.000402035511797294,0.0021010423079133034
132.0,0.00039784767432138324,0.0013959270436316729
133.0,0.00039370349259115756,0.0014128577895462513
134.0,0.0003896024136338383,0.0013264548033475876
135.0,0.0003855440590996295,0.001266232575289905
136.0,0.0003815280506387353,0.0013236410450190306
137.0,0.0003775538061745465,0.0012388791656121612
138.0,0.0003736209764610976,0.0012198141776025295
139.0,0.00036972909583710134,0.0014408862916752696
140.0,0.0003658778150565922,0.0010589788435027003
141.0,0.0003620665811467916,0.001148631446994841
142.0,0.00035829507396556437,0.001163960201665759
143.0,0.00035456291516311467,0.001191054005175829
144.0,0.00035086952266283333,0.0011749918339774013
