0	+3.3251058993320905e-02	-5.9403555052083747e-03	+0.0000000000000000e+00
2	+3.4828069845273507e-02	-4.9078714587615056e-03	+0.0000000000000000e+00
4	+3.5564173809925138e-02	-3.4915898115792212e-03	+0.0000000000000000e+00
6	+3.5512067785654855e-02	-2.0541869508789038e-03	+0.0000000000000000e+00
8	+3.4891527703435295e-02	-6.3251582628605471e-04	+0.0000000000000000e+00
10	+3.3988969302385527e-02	+7.0577910828192576e-04	+0.0000000000000000e+00
12	+3.3016465626991343e-02	+1.9319487444911423e-03	+0.0000000000000000e+00
14	+3.1932768573118019e-02	+3.2084128823700246e-03	+0.0000000000000000e+00
16	+3.0622013424013380e-02	+4.7127610309127604e-03	+0.0000000000000000e+00
18	+2.9243565808598566e-02	+6.3002263979235621e-03	+0.0000000000000000e+00
20	+2.8110528495900500e-02	+7.6584720101745768e-03	+0.0000000000000000e+00
22	+2.7306926006305812e-02	+8.7538825227672905e-03	+0.0000000000000000e+00
24	+2.6694347773658207e-02	+9.7723477454160074e-03	+0.0000000000000000e+00
26	+2.6141850344709491e-02	+1.0723336148624470e-02	+0.0000000000000000e+00
28	+2.5591697331561393e-02	+1.1434949712590767e-02	+0.0000000000000000e+00
30	+2.5069237859601509e-02	+1.1864693566848371e-02	+0.0000000000000000e+00
32	+2.4648534090078205e-02	+1.2152552669709471e-02	+0.0000000000000000e+00
34	+2.4340858105814458e-02	+1.2413182688360502e-02	+0.0000000000000000e+00
36	+2.4077219800878350e-02	+1.2666184022132907e-02	+0.0000000000000000e+00
38	+2.3780077986170375e-02	+1.2954057073950531e-02	+0.0000000000000000e+00
40	+2.3498429286069919e-02	+1.3246340021346982e-02	+0.0000000000000000e+00
42	+2.3303016642239820e-02	+1.3475922940743318e-02	+0.0000000000000000e+00
44	+2.3165464651811546e-02	+1.3520706333695920e-02	+0.0000000000000000e+00
46	+2.3113879979557165e-02	+1.3405702712023817e-02	+0.0000000000000000e+00
48	+2.3264131352134933e-02	+1.3211634414128058e-02	+0.0000000000000000e+00
50	+2.3563338829233234e-02	+1.2858644619720734e-02	+0.0000000000000000e+00
52	+2.3939243373074945e-02	+1.2399420256031140e-02	+0.0000000000000000e+00
54	+2.4332492970111190e-02	+1.1909573858025340e-02	+0.0000000000000000e+00
56	+2.4769270172229168e-02	+1.1339630265418553e-02	+0.0000000000000000e+00
58	+2.5326612504691582e-02	+1.0526360512229186e-02	+0.0000000000000000e+00
60	+2.5930943646309858e-02	+9.4846440324616310e-03	+0.0000000000000000e+00
62	+2.6521509753602911e-02	+8.2244540163200607e-03	+0.0000000000000000e+00
64	+2.7029585471646703e-02	+6.8650184126094740e-03	+0.0000000000000000e+00
66	+2.7419578603732928e-02	+5.6041254323033326e-03	+0.0000000000000000e+00
68	+2.7714989530444604e-02	+4.4821913569112219e-03	+0.0000000000000000e+00
70	+2.8002549670505892e-02	+3.2601390307897137e-03	+0.0000000000000000e+00
72	+2.8321639899943636e-02	+1.7748868085092485e-03	+0.0000000000000000e+00
74	+2.8583423482039481e-02	+2.1718889387401414e-04	+0.0000000000000000e+00
76	+2.8697385519098579e-02	-1.1326810353843189e-03	+0.0000000000000000e+00
78	+2.8700940187306345e-02	-2.1874118297065663e-03	+0.0000000000000000e+00
80	+2.8721860874939664e-02	-3.0311954082803175e-03	+0.0000000000000000e+00
82	+2.8919514712402769e-02	-3.8542434739322938e-03	+0.0000000000000000e+00
84	+2.9492909218172620e-02	-4.7881471156891869e-03	+0.0000000000000000e+00
86	+3.0691691023878784e-02	-5.6785818235944585e-03	+0.0000000000000000e+00
88	+3.2561716319007922e-02	-6.0551738262705976e-03	+0.0000000000000000e+00
266	+3.3261548633415780e-02	-5.9368995628457924e-03	+0.0000000000000000e+00
267	+3.3272048837297126e-02	-5.9334759858267151e-03	+0.0000000000000000e+00
268	+3.3282557670182261e-02	-5.9300791437042755e-03	+0.0000000000000000e+00
269	+3.3293073266016632e-02	-5.9267034189056256e-03	+0.0000000000000000e+00
270	+3.3303593777899272e-02	-5.9233432156028543e-03	+0.0000000000000000e+00
271	+3.3314117404998768e-02	-5.9199929441527367e-03	+0.0000000000000000e+00
272	+3.3324642337130818e-02	-5.9166470323205522e-03	+0.0000000000000000e+00
273	+3.3335166884344639e-02	-5.9132998715913801e-03	+0.0000000000000000e+00
274	+3.3345689185529132e-02	-5.9099459121790049e-03	+0.0000000000000000e+00
275	+3.3356207444704328e-02	-5.9065795725592746e-03	+0.0000000000000000e+00
276	+3.3366719941507514e-02	-5.9031952230454241e-03	+0.0000000000000000e+00
277	+3.3377224743656786e-02	-5.8997872895975578e-03	+0.0000000000000000e+00
278	+3.3387719960762841e-02	-5.8963501475442397e-03	+0.0000000000000000e+00
279	+3.3398203642805380e-02	-5.8928781539809372e-03	+0.0000000000000000e+00
280	+3.3408673775704507e-02	-5.8893656414642642e-03	+0.0000000000000000e+00
281	+3.3419128254541713e-02	-5.8858069228122697e-03	+0.0000000000000000e+00
282	+3.3429564872499297e-02	-5.8821962931159613e-03	+0.0000000000000000e+00
283	+3.3439981317502830e-02	-5.8785280184990227e-03	+0.0000000000000000e+00
