ITER,  avg_p_inlet_scaled,  avg_temp_outlet_scaled
1,  0.9975462532314618,  1.000355632910324
2,  0.9975460864341962,  1.000355641551271
3,  0.997545677933833,  1.000355671054623
4,  0.9975454217145115,  1.000355699063097
5,  0.9975456556945039,  1.000355685508171
6,  0.9975460723845453,  1.000355648260319
7,  0.9975458003246004,  1.000355654185947
8,  0.9975447338624304,  1.000355728201274
9,  0.9975440691221074,  1.000355796006065
10,  0.9975446525091172,  1.000355753483468
11,  0.9975457442142948,  1.000355659019733
12,  0.9975457766300435,  1.000355651702786
13,  0.9975447141244107,  1.000355718947966
14,  0.9975440516432059,  1.000355769502066
15,  0.9975445823150845,  1.000355701555191
16,  0.9975456764275702,  1.000355614432954
17,  0.9975460185074424,  1.000355639003705
18,  0.9975455354586397,  1.000355662448982
19,  0.9975452282623737,  1.000355660627878
20,  0.997545424100595,  1.000355586648235
21,  0.997545927444244,  1.000355552255007
22,  0.9975466945843925,  1.000355370743954
23,  0.9975478387904634,  1.00035511254644
24,  0.9975484477266954,  1.000355015205355
25,  0.9975477103755415,  1.000355069639241
26,  0.9975466186790568,  1.000355340093095
27,  0.9975473715459481,  1.000355287403483
28,  0.9975499542261698,  1.000354782374648
29,  0.9975513473316191,  1.000354534575111
30,  0.9975497294435722,  1.000354723553475
31,  0.9975472209885514,  1.000355243155645
32,  0.9975473783485339,  1.000355374592354
33,  0.9975500043488973,  1.000354911302683
34,  0.9975514737076759,  1.000354663063232
35,  0.9975498458071902,  1.000354877555868
36,  0.9975472721630042,  1.000355349197988
37,  0.9975466749662855,  1.000355550734559
38,  0.9975476866921923,  1.000355384715549
39,  0.9975482705218065,  1.000355291790569
40,  0.9975476441483301,  1.000355377517979
41,  0.9975466469805278,  1.000355545290162
42,  0.9975462085396208,  1.000355628857078
43,  0.9975462633200186,  1.000355622138548
44,  0.9975463149724768,  1.000355621197995
45,  0.9975461112809703,  1.000355620945458
46,  0.9975462902153847,  1.000355603985601
47,  0.9975464632081409,  1.000355604931269
48,  0.997546075173388,  1.000355619467659
49,  0.9975463109390934,  1.0003556085055
50,  0.9975465445443207,  1.000355621506057
51,  0.9975459078363788,  1.000355934410753
52,  0.9975461512593881,  1.000355609407309
53,  0.997546418726641,  1.000355283039629
54,  0.9975458934666713,  1.000355800878395
55,  0.9975461833285404,  1.00035562122184
56,  0.9975464824667234,  1.000355438144304
57,  0.9975461308709471,  1.000355675895214
58,  0.9975462363920854,  1.000355631400146
59,  0.9975463436906604,  1.000355585496457
