epoch,learning_rate,validation_loss_MolarWeightMix
0.0,0.0015848932089284062,0.00012474645336624235
1.0,0.0015683840028941631,0.0003095532301813364
2.0,0.0015520467422902584,0.00025793511304073036
3.0,0.0015358797973021865,0.00010808980732690543
4.0,0.0015198810724541545,8.903726848075166e-05
5.0,0.0015040490543469787,6.706844578729942e-05
6.0,0.0014883819967508316,4.5559867430711165e-05
7.0,0.001472878153435886,5.8291399909649044e-05
8.0,0.0014575357781723142,3.755081706913188e-05
9.0,0.0014423532411456108,2.58652198681375e-05
10.0,0.0014273286797106266,2.2896454538567923e-05
11.0,0.0014124608132988214,2.1770047169411555e-05
12.0,0.0013977477792650461,1.9508195691742003e-05
13.0,0.0013831880642101169,2.23632414417807e-05
14.0,0.0013687798054888844,2.2556103431270458e-05
15.0,0.0013545218389481306,2.537268665037118e-05
16.0,0.001340412301942706,1.9505170712363906e-05
17.0,0.001326449797488749,2.671276160981506e-05
18.0,0.0013126326957717538,2.1046793335699476e-05
19.0,0.0012989594833925366,2.0578248950187117e-05
20.0,0.0012854287633672357,2.5560588255757466e-05
21.0,0.0012720389058813453,2.4598868549219333e-05
22.0,0.0012587886303663254,2.69292631855933e-05
23.0,0.0012456763070076704,2.198991751356516e-05
24.0,0.0012327005388215184,2.8200707674841397e-05
25.0,0.0012198600452393293,2.5699582693050615e-05
26.0,0.0012071531964465976,2.724269506870769e-05
27.0,0.0011945788282901049,2.6499999876250513e-05
28.0,0.0011821354273706675,2.8012082111672498e-05
29.0,0.0011698215967044234,2.7641010092338547e-05
30.0,0.0011576359393075109,2.897691047110129e-05
31.0,0.0011455774074420333,3.08845192193985e-05
32.0,0.0011336442548781633,3.159522748319432e-05
33.0,0.0011218355502933264,3.2686108170310035e-05
34.0,0.0011101498967036605,3.329068567836657e-05
35.0,0.0010985858971253037,3.1060051696840674e-05
36.0,0.0010871423874050379,2.1419880795292556e-05
37.0,0.001075817970559001,3.361468407092616e-05
38.0,0.0010646117152646184,2.6719915695139207e-05
39.0,0.0010535219917073846,2.712528657866642e-05
40.0,0.001042547868564725,2.412672620266676e-05
41.0,0.0010316881816834211,2.5268907847930677e-05
42.0,0.0010209414176642895,2.2870561224408448e-05
43.0,0.0010103066451847553,2.340298487979453e-05
44.0,0.0009997827000916004,2.1007128452765755e-05
45.0,0.0009893683018162847,1.9557310224627145e-05
46.0,0.0009790625190362334,1.8550679669715464e-05
47.0,0.0009688640129752457,1.9649534806376323e-05
48.0,0.0009587717358954251,1.9408942534937523e-05
49.0,0.0009487845818512142,1.7523529095342383e-05
50.0,0.0009389015031047165,1.7829852367867716e-05
51.0,0.0009291213355027139,1.7414300600648858e-05
52.0,0.0009194430313073099,1.7052907423931174e-05
53.0,0.0009098656009882689,1.6403517292928882e-05
54.0,0.0009003878221847117,1.5976824215613306e-05
55.0,0.0008910088217817247,1.5478863133466803e-05
56.0,0.0008817275520414114,1.5019342754385434e-05
57.0,0.0008725430234335363,1.4911856851540506e-05
58.0,0.0008634540718048811,1.4223027392290533e-05
59.0,0.0008544597658328712,1.4228148756956216e-05
60.0,0.0008455592324025929,1.424169386154972e-05
61.0,0.0008367513655684888,1.4100550288276281e-05
62.0,0.0008280352340079844,1.391367277392419e-05
63.0,0.0008194099646061659,1.3788004253001418e-05
64.0,0.0008108744514174759,1.3702127034775913e-05
65.0,0.0008024278795346618,1.3528178897104226e-05
66.0,0.0007940693758428097,1.33167113745003e-05
