epoch,learning_rate,validation_loss_Beta_ProgVar
0.0,0.0015848932089284062,0.00034182489616796374
1.0,0.0015683840028941631,0.00015306616842281073
2.0,0.0015520467422902584,0.00010860946349566802
3.0,0.0015358797973021865,4.352800169726834e-05
4.0,0.0015198810724541545,6.858666165499017e-05
5.0,0.0015040490543469787,2.3166052415035665e-05
6.0,0.0014883819967508316,4.549076402327046e-05
7.0,0.001472878153435886,2.984877210110426e-05
8.0,0.0014575357781723142,2.033052805927582e-05
9.0,0.0014423532411456108,6.832087092334405e-05
10.0,0.0014273286797106266,6.385031883837655e-05
11.0,0.0014124608132988214,1.8350086975260638e-05
12.0,0.0013977477792650461,1.5223618902382441e-05
13.0,0.0013831880642101169,1.958587199624162e-05
14.0,0.0013687798054888844,2.3945973225636408e-05
15.0,0.0013545218389481306,1.772086034179665e-05
16.0,0.001340412301942706,1.4066283256397583e-05
17.0,0.001326449797488749,1.7942427803063765e-05
18.0,0.0013126326957717538,1.6466492525069043e-05
19.0,0.0012989594833925366,1.6625772332190536e-05
20.0,0.0012854287633672357,1.3550929907069076e-05
21.0,0.0012720389058813453,1.269257154490333e-05
22.0,0.0012587886303663254,1.3520767424779478e-05
23.0,0.0012456763070076704,1.309251911152387e-05
24.0,0.0012327005388215184,3.4037257137242705e-05
25.0,0.0012198600452393293,2.6603052901919e-05
26.0,0.0012071531964465976,1.244511531695025e-05
27.0,0.0011945788282901049,2.229261190223042e-05
28.0,0.0011821354273706675,1.9878596503986046e-05
29.0,0.0011698215967044234,1.3403721823124215e-05
30.0,0.0011576359393075109,1.2321288522798568e-05
31.0,0.0011455774074420333,1.2152891031291801e-05
32.0,0.0011336442548781633,1.0712579751270823e-05
33.0,0.0011218355502933264,1.4289242244558409e-05
34.0,0.0011101498967036605,1.2676408005063422e-05
35.0,0.0010985858971253037,1.174263707071077e-05
36.0,0.0010871423874050379,1.2892393897345755e-05
37.0,0.001075817970559001,1.2377377061056904e-05
38.0,0.0010646117152646184,1.160069768957328e-05
39.0,0.0010535219917073846,1.1042347068723757e-05
40.0,0.001042547868564725,1.0975807526847348e-05
41.0,0.0010316881816834211,1.1827100024675019e-05
42.0,0.0010209414176642895,1.2100589628971647e-05
43.0,0.0010103066451847553,1.0805626516230404e-05
44.0,0.0009997827000916004,1.2327805961831473e-05
45.0,0.0009893683018162847,1.917309418786317e-05
46.0,0.0009790625190362334,1.4861061572446488e-05
47.0,0.0009688640129752457,1.261561737919692e-05
48.0,0.0009587717358954251,1.0724700587161351e-05
49.0,0.0009487845818512142,9.750585377332754e-06
50.0,0.0009389015031047165,1.2827111277147196e-05
51.0,0.0009291213355027139,1.3573306205216795e-05
52.0,0.0009194430313073099,1.1962821190536488e-05
53.0,0.0009098656009882689,1.889954182843212e-05
54.0,0.0009003878221847117,1.006357888400089e-05
55.0,0.0008910088217817247,1.4466195352724753e-05
56.0,0.0008817275520414114,9.536897778161801e-06
57.0,0.0008725430234335363,9.985355063690804e-06
58.0,0.0008634540718048811,9.330558896181174e-06
59.0,0.0008544597658328712,1.1362106306478381e-05
60.0,0.0008455592324025929,1.4580006791220512e-05
61.0,0.0008367513655684888,9.451377081859391e-06
62.0,0.0008280352340079844,1.0146794920729008e-05
63.0,0.0008194099646061659,1.0806615136971232e-05
64.0,0.0008108744514174759,1.2018514098599553e-05
65.0,0.0008024278795346618,8.728406100999564e-06
66.0,0.0007940693758428097,1.0776082490338013e-05
67.0,0.0007857978343963623,1.5530691598542035e-05
68.0,0.0007776124984957278,9.554861208016519e-06
69.0,0.0007695124368183315,9.098621376324445e-06
70.0,0.0007614967180415988,1.1198377251275815e-05
71.0,0.000753564469050616,9.88676674751332e-06
72.0,0.0007457149331457913,9.488780960964505e-06
73.0,0.0007379470625892282,9.43419126997469e-06
74.0,0.0007302602170966566,9.217541446560062e-06
75.0,0.000722653407137841,1.1148129487992264e-05
76.0,0.0007151258178055286,9.075713023776188e-06
77.0,0.0007076765759848058,9.310374480264727e-06
78.0,0.0007003049831837416,9.559174031892326e-06
79.0,0.0006930102244950831,1.0804540579556488e-05
80.0,0.0006857913685962558,9.314881936006714e-06
81.0,0.0006786477752029896,1.0372247743362095e-05
82.0,0.0006715785712003708,1.3993889297125861e-05
83.0,0.0006645829998888075,8.708594577910844e-06
84.0,0.0006576603627763689,8.731509296922013e-06
85.0,0.0006508097285404801,8.982310646388214e-06
86.0,0.0006440305151045322,9.299796147388406e-06
87.0,0.0006373218493536115,8.904902642825618e-06
88.0,0.0006306831492111087,9.944355952029582e-06
89.0,0.0006241135997697711,9.52768914430635e-06
90.0,0.0006176124443300068,8.832408639136702e-06
91.0,0.0006111790426075459,8.606500159658026e-06
92.0,0.0006048126379027963,1.0040050256066024e-05
93.0,0.0005985125317238271,9.270284863305278e-06
94.0,0.0005922780255787075,8.372578122362029e-06
95.0,0.0005861085373908281,8.231980245909654e-06
96.0,0.0005800032522529364,8.489121682941914e-06
97.0,0.000573961588088423,8.379012797377072e-06
98.0,0.000567982904613018,8.272157174360473e-06
99.0,0.0005620663869194686,8.564286872569937e-06
100.0,0.0005562116275541484,8.489771971653681e-06
101.0,0.0005504177534021437,8.568575140088797e-06
102.0,0.0005446842988021672,8.32262412586715e-06
103.0,0.0005390105070546269,1.0317133273929358e-05
104.0,0.0005333958542905748,8.21748108137399e-06
105.0,0.0005278397002257407,8.249458005593624e-06
106.0,0.0005223413463681936,9.270240298064891e-06
107.0,0.0005169003852643073,7.946839104988612e-06
108.0,0.0005115160020068288,8.221171810873784e-06
109.0,0.0005061877309344709,8.418576726398896e-06
110.0,0.0005009149899706244,8.99663609743584e-06
111.0,0.0004956971970386803,7.995190571818966e-06
112.0,0.0004905337118543684,7.715999345236924e-06
113.0,0.0004854240105487406,8.136484211718198e-06
114.0,0.0004803675692528486,1.0837494301085826e-05
115.0,0.0004753637476824224,8.4173989307601e-06
116.0,0.0004704120510723442,8.313117177749518e-06
117.0,0.00046551195555366576,8.982415238278918e-06
118.0,0.0004606629372574389,8.187779712898191e-06
119.0,0.000455864385003224,8.179044925782364e-06
120.0,0.00045111580402590334,7.731687219347805e-06
121.0,0.0004464167286641896,8.288334356620908e-06
122.0,0.0004417665477376431,7.576668394904118e-06
123.0,0.00043716488289646804,7.889855623943731e-06
124.0,0.0004326110938563943,7.156818810472032e-06
125.0,0.00042810477316379547,8.486420483677648e-06
126.0,0.0004236453678458929,7.2933703449962195e-06
127.0,0.00041923238313756883,7.359688879660098e-06
128.0,0.00041486541158519685,7.406641998386476e-06
129.0,0.00041054398752748966,6.911454875080381e-06
130.0,0.0004062674706801772,7.199635547294747e-06
131.0,0.000402035511797294,7.4401891652087215e-06
132.0,0.00039784767432138324,7.2248394644702785e-06
133.0,0.00039370349259115756,7.1454901444667485e-06
134.0,0.0003896024136338383,7.938978342281189e-06
135.0,0.0003855440590996295,9.497250175627414e-06
136.0,0.0003815280506387353,7.481482043658616e-06
137.0,0.0003775538061745465,7.502653261326486e-06
138.0,0.0003736209764610976,8.063839231908787e-06
139.0,0.00036972909583710134,8.262028131866828e-06
140.0,0.0003658778150565922,7.255197033373406e-06
141.0,0.0003620665811467916,7.2137163442675956e-06
142.0,0.00035829507396556437,7.250811904668808e-06
143.0,0.00035456291516311467,7.144397386582568e-06
144.0,0.00035086952266283333,6.992541329964297e-06
145.0,0.0003472146636340767,6.867735010018805e-06
146.0,0.00034359784331172705,7.1140161708171945e-06
147.0,0.00034001877065747976,6.7727391979133245e-06
148.0,0.0003364768926985562,6.576741270691855e-06
149.0,0.00033297191839665174,7.234726581373252e-06
150.0,0.0003295035567134619,6.83998496242566e-06
151.0,0.00032607122557237744,7.025354079814861e-06
152.0,0.00032267466303892434,6.777799626433989e-06
153.0,0.00031931346165947616,6.729699634888675e-06
154.0,0.00031598733039572835,7.300877769012004e-06
155.0,0.00031269583269022405,9.65346862358274e-06
156.0,0.00030943856108933687,6.33533090876881e-06
157.0,0.0003062153118662536,6.615995971515076e-06
