Step size, diff_dToutdX, diff_dPdropdX
1e-14,38.96330386927521,-90.3404223659357
5.1794746792312023e-14,27.35766548789452,1.011007274493239
2.682695795279727e-13,-2.1537046456069433,-4.807513586000835
1.3894954943731361e-12,-0.2889262880431468,-0.5993469138184386
7.1968567300115285e-12,-0.03317588505623525,-0.16127691916399167
3.727593720314938e-11,0.0016555542207373022,0.006749198113905956
1.9306977288832457e-10,-0.00153448930568119,-0.005910807810536097
1e-09,-0.5706591174561062,0.17234289216673285
5.179474679231223e-09,-0.11008905950074536,0.03369654208232819
2.682695795279727e-08,-0.02070224982933325,0.008442173350743713
1.389495494373139e-07,-0.0010425948261893205,0.011123395335725966
7.196856730011529e-07,0.015232969658403527,0.051051293571176416
3.727593720314938e-06,0.08309307577528928,0.2632881364255005
1.9306977288832537e-05,0.43275736995278674,1.3759526585952262
0.0001,2.311936061092735,7.486828903915311
