ITER,  avg_p_inlet_scaled,  avg_temp_outlet_scaled
1,  1.000000000000124,  1.000000000000013
2,  1.000000000000629,  0.9999999999986673
3,  1.000000000027484,  0.9999999999936247
4,  1.000000000133672,  0.9999999999745917
5,  1.000000000722411,  0.999999999865834
6,  1.000000003757679,  0.9999999993032532
7,  1.00000001949504,  0.9999999963899056
8,  1.000000100960766,  0.999999981302149
9,  1.000000523855398,  0.999999903706077
10,  1.000002709539839,  0.9999994989377233
11,  1.000014030449468,  0.9999974024382121
12,  1.000072672305529,  0.9999865433488784
13,  1.000376554639488,  0.9999302902722699
14,  1.001954492480276,  0.9996386952520455
15,  1.010235586276702,  0.9981220931306337
16,  1.056210667122742,  0.9900914368530789
