epoch,learning_rate,validation_loss_Beta_ProgVar
0.0,0.0015848932089284062,9.117661829805002e-05
1.0,0.0015683840028941631,6.566281808773056e-05
2.0,0.0015520467422902584,0.00031121112988330424
3.0,0.0015358797973021865,9.775008038559463e-06
4.0,0.0015198810724541545,9.509814844932407e-06
5.0,0.0015040490543469787,6.794249202357605e-06
6.0,0.0014883819967508316,1.9190600141882896e-05
7.0,0.001472878153435886,1.0430641850689426e-05
8.0,0.0014575357781723142,1.6702411812730134e-05
9.0,0.0014423532411456108,1.0202046723861713e-05
10.0,0.0014273286797106266,1.410975255566882e-05
11.0,0.0014124608132988214,1.1410004844947252e-05
12.0,0.0013977477792650461,6.5958724917436484e-06
13.0,0.0013831880642101169,6.296821084106341e-06
14.0,0.0013687798054888844,8.071295269473922e-06
15.0,0.0013545218389481306,9.507316462986637e-06
16.0,0.001340412301942706,7.746505616523791e-06
17.0,0.001326449797488749,5.407167918747291e-06
18.0,0.0013126326957717538,1.8969063603435643e-05
19.0,0.0012989594833925366,5.936158231634181e-06
20.0,0.0012854287633672357,6.7339187808102e-06
21.0,0.0012720389058813453,5.74325304114609e-06
22.0,0.0012587886303663254,6.393692274286877e-06
23.0,0.0012456763070076704,9.118576599576045e-06
24.0,0.0012327005388215184,5.8726000133901834e-06
25.0,0.0012198600452393293,5.678623438143404e-06
26.0,0.0012071531964465976,5.772463737230282e-06
27.0,0.0011945788282901049,6.009191565681249e-06
28.0,0.0011821354273706675,6.344513622025261e-06
29.0,0.0011698215967044234,7.791148163960315e-06
30.0,0.0011576359393075109,7.449822987837251e-06
31.0,0.0011455774074420333,7.045987331366632e-06
32.0,0.0011336442548781633,7.64240940043237e-06
33.0,0.0011218355502933264,7.153726528486004e-06
34.0,0.0011101498967036605,1.168246308225207e-05
35.0,0.0010985858971253037,6.361695795931155e-06
36.0,0.0010871423874050379,2.7867155949934386e-05
37.0,0.001075817970559001,9.045689694175962e-06
38.0,0.0010646117152646184,6.867443516966887e-06
39.0,0.0010535219917073846,5.836535365233431e-06
40.0,0.001042547868564725,9.75550756265875e-06
41.0,0.0010316881816834211,5.77862374484539e-06
42.0,0.0010209414176642895,6.492123702628305e-06
43.0,0.0010103066451847553,5.889132808079012e-06
44.0,0.0009997827000916004,5.527624125534203e-06
45.0,0.0009893683018162847,7.278445991687477e-06
46.0,0.0009790625190362334,5.983726168778958e-06
47.0,0.0009688640129752457,6.179762749525253e-06
48.0,0.0009587717358954251,6.189843134052353e-06
49.0,0.0009487845818512142,8.066823284025304e-06
