epoch,learning_rate,validation_loss_Beta_ProgVar
0.0,0.0015848932089284062,0.00029187151812948287
1.0,0.0015683840028941631,0.00041355984285473824
2.0,0.0015520467422902584,0.00018573277338873595
3.0,0.0015358797973021865,0.00023599914857186377
4.0,0.0015198810724541545,0.0013590683229267597
5.0,0.0015040490543469787,0.00024279521312564611
6.0,0.0014883819967508316,0.0002241256006527692
7.0,0.001472878153435886,0.0009938377188518643
8.0,0.0014575357781723142,0.0001649353071115911
9.0,0.0014423532411456108,0.00014343176735565066
10.0,0.0014273286797106266,0.00047232137876562774
11.0,0.0014124608132988214,0.00012504687765613198
12.0,0.0013977477792650461,0.00012560488539747894
13.0,0.0013831880642101169,0.00015414634253829718
14.0,0.0013687798054888844,0.00014139077393338084
15.0,0.0013545218389481306,0.00011131719656987116
16.0,0.001340412301942706,0.00010959040810121223
17.0,0.001326449797488749,0.000219927285797894
18.0,0.0013126326957717538,0.0003203739470336586
19.0,0.0012989594833925366,0.0003656922490336001
20.0,0.0012854287633672357,8.646229980513453e-05
21.0,0.0012720389058813453,0.00024163325724657625
22.0,0.0012587886303663254,0.0001066715776687488
23.0,0.0012456763070076704,0.0001849117106758058
24.0,0.0012327005388215184,7.268770423252136e-05
25.0,0.0012198600452393293,7.79530091676861e-05
26.0,0.0012071531964465976,0.00045823812251910567
27.0,0.0011945788282901049,7.776194252073765e-05
28.0,0.0011821354273706675,7.263758743647486e-05
29.0,0.0011698215967044234,6.839552952442318e-05
30.0,0.0011576359393075109,7.855010335333645e-05
31.0,0.0011455774074420333,6.773790664738044e-05
32.0,0.0011336442548781633,6.375483644660562e-05
33.0,0.0011218355502933264,5.619469447992742e-05
34.0,0.0011101498967036605,0.00013449200196191669
35.0,0.0010985858971253037,5.3805593779543415e-05
36.0,0.0010871423874050379,4.9057009164243937e-05
37.0,0.001075817970559001,7.400256436085328e-05
38.0,0.0010646117152646184,7.072361040627584e-05
39.0,0.0010535219917073846,6.506259524030611e-05
40.0,0.001042547868564725,0.00011606394400587305
41.0,0.0010316881816834211,6.103742634877563e-05
42.0,0.0010209414176642895,8.463309495709836e-05
43.0,0.0010103066451847553,4.8948346375254914e-05
44.0,0.0009997827000916004,4.266166070010513e-05
45.0,0.0009893683018162847,4.263241862645373e-05
46.0,0.0009790625190362334,4.8438152589369565e-05
47.0,0.0009688640129752457,4.7390800318680704e-05
48.0,0.0009587717358954251,3.86636565963272e-05
49.0,0.0009487845818512142,3.946011565858498e-05
50.0,0.0009389015031047165,4.12252738897223e-05
51.0,0.0009291213355027139,5.057320595369674e-05
52.0,0.0009194430313073099,4.0806920878821984e-05
53.0,0.0009098656009882689,3.5686774936039e-05
54.0,0.0009003878221847117,3.9123093301896006e-05
55.0,0.0008910088217817247,4.200094554107636e-05
56.0,0.0008817275520414114,5.5145246733445674e-05
57.0,0.0008725430234335363,3.4793712984537706e-05
58.0,0.0008634540718048811,3.61005513696e-05
59.0,0.0008544597658328712,3.4485252399463207e-05
60.0,0.0008455592324025929,3.572077548597008e-05
61.0,0.0008367513655684888,7.862242637202144e-05
62.0,0.0008280352340079844,3.31167975673452e-05
63.0,0.0008194099646061659,3.3762658858904615e-05
64.0,0.0008108744514174759,3.3709820854710415e-05
65.0,0.0008024278795346618,3.369573096279055e-05
66.0,0.0007940693758428097,3.753626879188232e-05
67.0,0.0007857978343963623,3.5854689485859126e-05
68.0,0.0007776124984957278,3.8620470149908215e-05
69.0,0.0007695124368183315,9.885190229397267e-05
70.0,0.0007614967180415988,7.884271326474845e-05
71.0,0.000753564469050616,3.117242886219174e-05
72.0,0.0007457149331457913,2.6953885026159696e-05
73.0,0.0007379470625892282,7.646736048627645e-05
74.0,0.0007302602170966566,2.7852140192408115e-05
75.0,0.000722653407137841,2.8451830075937323e-05
76.0,0.0007151258178055286,3.9246318920049816e-05
77.0,0.0007076765759848058,2.3889815565780737e-05
78.0,0.0007003049831837416,2.761204814305529e-05
79.0,0.0006930102244950831,2.525294985389337e-05
80.0,0.0006857913685962558,2.9267710488056764e-05
81.0,0.0006786477752029896,2.849779230018612e-05
82.0,0.0006715785712003708,8.817213529255241e-05
83.0,0.0006645829998888075,2.972553193103522e-05
84.0,0.0006576603627763689,4.9958936870098114e-05
85.0,0.0006508097285404801,4.7382756747538224e-05
86.0,0.0006440305151045322,4.055250610690564e-05
