epoch,learning_rate,validation_loss_Temperature,validation_loss_ViscosityDyn
0.0,0.0015848932089284062,0.006084997206926346,0.003591170534491539
1.0,0.0015683735255151987,0.00391262536868453,0.0016821519238874316
2.0,0.0015520260203629732,0.002843205351382494,0.0010459428885951638
3.0,0.0015358489472419024,0.0022303981240838766,0.0009009295026771724
4.0,0.0015198404435068369,0.0018939245492219925,0.0007963129901327193
5.0,0.001503998995758593,0.0016527770785614848,0.0005850270972587168
6.0,0.0014883223921060562,0.0014540009433403611,0.0004482383083086461
7.0,0.0014728093519806862,0.0013340767472982407,0.00037795453681610525
8.0,0.0014574580127373338,0.001139676896855235,0.0003475991543382406
9.0,0.0014422665117308497,0.0009619557531550527,0.000365844665793702
10.0,0.001427233568392694,0.0009247491834685206,0.0004171488108113408
11.0,0.0014123572036623955,0.0007549572037532926,0.0003861371660605073
12.0,0.0013976359041407704,0.0006463723257184029,0.00034110702108591795
13.0,0.0013830680400133133,0.000614351883996278,0.000288479175651446
14.0,0.0013686519814655185,0.0005673153209500015,0.00026391877327114344
15.0,0.001354386331513524,0.0005055795190855861,0.0002363177773077041
16.0,0.0013402693439275026,0.0004992442554794252,0.0002321688225492835
17.0,0.0013262993888929486,0.0004860793414991349,0.00023253323161043227
18.0,0.001312475185841322,0.0004862374044023454,0.00022946817625779659
19.0,0.0012987948721274734,0.00046725370339117944,0.00023809248523321003
20.0,0.0012852572835981846,0.00042754749301820993,0.00018361485854256898
21.0,0.00127186079043895,0.0004308652423787862,0.00021838548127561808
22.0,0.001258603879250586,0.00040947870002128184,0.00023467271239496768
23.0,0.0012454852694645524,0.000356015661964193,0.00020391124417074025
24.0,0.0012325033312663436,0.0003548484237398952,0.00020646506163757294
25.0,0.0012196566676720977,0.0003158801409881562,0.00015223692753352225
26.0,0.0012069439981132746,0.00030394928762689233,0.00015815312508493662
27.0,0.0011943636927753687,0.0002409211010672152,0.00012825187877751887
28.0,0.0011819147039204836,0.0002241403126390651,0.00012103547487640753
29.0,0.0011695952853187919,0.00019714212976396084,0.00010443228529766202
30.0,0.001157404389232397,0.00019165966659784317,0.00010649600153556094
31.0,0.0011453405022621155,0.00019908763351850212,0.00011969288607360795
32.0,0.001133402343839407,0.00017231775564141572,6.287328142207116e-05
33.0,0.0011215887498110533,0.0001915643224492669,0.00012197853357065469
34.0,0.0011098980903625488,0.00015378485841210932,5.831268208567053e-05
35.0,0.0010983295505866408,0.00018309068400412798,0.00010515476606087759
36.0,0.001086881384253502,0.0001405510847689584,6.350674811983481e-05
37.0,0.0010755525436252356,0.00014168891357257962,7.145965355448425e-05
38.0,0.0010643418645486236,0.00012674533354584128,5.251411130302586e-05
39.0,0.001053247950039804,0.00011854154581669718,4.9558486352907494e-05
40.0,0.0010422697523608804,0.00012152614363003522,6.098856101743877e-05
41.0,0.0010314059909433126,0.00011403126700315624,4.900295243714936e-05
42.0,0.0010206553852185607,0.00013584420958068222,5.2757950470549986e-05
43.0,0.001010016887448728,0.00013508496340364218,5.93716322327964e-05
44.0,0.0009994893334805965,0.0001312440144829452,5.3334642871050164e-05
45.0,0.0009890715591609478,0.00010659357212716714,4.015018930658698e-05
46.0,0.00097876216750592,0.00010395414574304596,3.7743098801001906e-05
47.0,0.0009685604018159211,0.00011389594874344766,6.522122566821054e-05
48.0,0.0009584648651070893,0.00011529699986567721,4.155495116719976e-05
49.0,0.0009484745096415281,0.00010996311175404117,3.8887450500624254e-05
50.0,0.0009385884623043239,0.00011565614840947092,3.9850168832344934e-05
51.0,0.0009288053843192756,0.00012225731916259974,4.912027361569926e-05
52.0,0.0009191242279484868,0.00015595559671055526,5.181150481803343e-05
53.0,0.0009095440036617219,0.00016601974493823946,5.4997879487928e-05
54.0,0.0009000636055134237,0.00010951090371236205,4.15362992498558e-05
55.0,0.0008906821021810174,0.00010434802243253216,3.465334157226607e-05
56.0,0.0008813983295112848,0.00010751608351711184,5.8048088249051943e-05
57.0,0.0008722112979739904,9.243151725968346e-05,4.70540217065718e-05
58.0,0.0008631200762465596,0.00010372589167673141,4.3699466914404184e-05
59.0,0.0008541236165910959,9.426449832972139e-05,6.0349244449753314e-05
60.0,0.0008452209876850247,0.00011830477887997404,5.232150215306319e-05
61.0,0.0008364109671674669,9.220076753990725e-05,6.332279008347541e-05
62.0,0.0008276929147541523,9.667564154369757e-05,6.458318966906518e-05
63.0,0.0008190657244995236,0.00011392924352549016,4.423116479301825e-05
64.0,0.0008105284650810063,9.96810122160241e-05,5.60284752282314e-05
65.0,0.0008020801469683647,9.873258386505768e-05,5.89435403526295e-05
66.0,0.0007937198970466852,9.79775286396034e-05,5.395336847868748e-05
67.0,0.0007854467839933932,9.026403859024867e-05,6.58504432067275e-05
68.0,0.000777259876485914,9.173118451144546e-05,5.668203084496781e-05
69.0,0.0007691583596169949,8.645013440400362e-05,6.75685441819951e-05
70.0,0.0007611413020640612,9.65686995186843e-05,5.098007750348188e-05
71.0,0.0007532077725045383,9.185373346554115e-05,5.2356412197696045e-05
72.0,0.0007453568978235126,8.149987843353301e-05,6.714877963531762e-05
73.0,0.0007375878631137311,8.978161349659786e-05,5.9146241255803034e-05
74.0,0.0007298998534679413,7.754007674520835e-05,5.823328683618456e-05
75.0,0.0007222919375635684,8.108974725473672e-05,4.9945589125854895e-05
76.0,0.0007147633587010205,9.216544276569039e-05,6.8361681769602e-05
77.0,0.000707313243765384,8.458941738354042e-05,6.495633715530857e-05
78.0,0.000699940777849406,9.049497020896524e-05,5.4307693062582985e-05
79.0,0.0006926451460458338,9.118520392803475e-05,5.834877083543688e-05
80.0,0.0006854255334474146,8.938337123254314e-05,4.7986952267820016e-05
81.0,0.0006782812415622175,7.250232738442719e-05,4.458745024749078e-05
82.0,0.0006712113972753286,6.567440868820995e-05,4.901380816590972e-05
83.0,0.0006642151856794953,8.91450181370601e-05,6.726495485054329e-05
84.0,0.0006572919664904475,6.219596980372444e-05,4.614807039615698e-05
85.0,0.0006504408665932715,8.553753286832944e-05,6.559625035151839e-05
86.0,0.0006436612457036972,8.787359547568485e-05,5.564810271607712e-05
87.0,0.000636952230706811,7.366866338998079e-05,5.32496596861165e-05
88.0,0.0006303131231106818,8.083388820523396e-05,5.479695391841233e-05
89.0,0.0006237432244233787,5.537561446544714e-05,4.2635700083337724e-05
90.0,0.0006172418361529708,7.552780880359933e-05,5.8989749959437177e-05
91.0,0.0006108082015998662,7.685532909817994e-05,5.0615246436791494e-05
92.0,0.0006044416222721338,5.816007615067065e-05,4.128277214476839e-05
93.0,0.0005981413996778429,6.945666245883331e-05,4.992989852325991e-05
94.0,0.0005919068935327232,4.940639337291941e-05,3.950291284127161e-05
95.0,0.000585737288929522,6.574007420567796e-05,5.1113252993673086e-05
96.0,0.0005796320037916303,6.192315777298063e-05,3.768759415834211e-05
97.0,0.0005735903978347778,6.213222513906658e-05,4.2596810089889914e-05
98.0,0.0005676117725670338,6.17362602497451e-05,4.120652374695055e-05
99.0,0.0005616954294964671,4.998897566110827e-05,3.548567110556178e-05
100.0,0.0005558407283388078,6.304805719992146e-05,3.5696441045729443e-05
101.0,0.0005500471452251077,6.235483306227252e-05,3.387462129467167e-05
102.0,0.0005443138652481139,5.5171451094793156e-05,3.640156865003519e-05
103.0,0.0005386403645388782,5.585093822446652e-05,3.513288902468048e-05
104.0,0.0005330260028131306,5.3399813623400405e-05,3.556757656042464e-05
105.0,0.000527470197994262,5.074715591035783e-05,3.364725489518605e-05
106.0,0.0005219722515903413,5.0373058911645785e-05,2.993478483404033e-05
