epoch,learning_rate,validation_loss_Beta_MixFrac
0.0,0.0015848932089284062,0.00028043900965712965
1.0,0.0015683840028941631,0.00011022362014045939
2.0,0.0015520467422902584,0.0001642504648771137
3.0,0.0015358797973021865,4.511758015723899e-05
4.0,0.0015198810724541545,2.9414861273835413e-05
5.0,0.0015040490543469787,2.8579672289197333e-05
6.0,0.0014883819967508316,1.6530273569514975e-05
7.0,0.001472878153435886,2.773041524051223e-05
8.0,0.0014575357781723142,4.1991796024376526e-05
9.0,0.0014423532411456108,0.00019605844863690436
10.0,0.0014273286797106266,0.0004512932791840285
11.0,0.0014124608132988214,2.8647460567299277e-05
12.0,0.0013977477792650461,2.0548175598378293e-05
13.0,0.0013831880642101169,1.2510948181443382e-05
14.0,0.0013687798054888844,9.191107892547734e-06
15.0,0.0013545218389481306,1.2950566997460555e-05
16.0,0.001340412301942706,9.434342246095184e-06
17.0,0.001326449797488749,1.122275716625154e-05
18.0,0.0013126326957717538,7.341788659687154e-06
19.0,0.0012989594833925366,7.89313799032243e-06
20.0,0.0012854287633672357,1.1474642633402254e-05
21.0,0.0012720389058813453,3.633648520917632e-05
22.0,0.0012587886303663254,6.9244483711372595e-06
23.0,0.0012456763070076704,6.343422683130484e-06
24.0,0.0012327005388215184,5.984317795082461e-06
25.0,0.0012198600452393293,6.705194664391456e-06
26.0,0.0012071531964465976,8.334036465384997e-06
27.0,0.0011945788282901049,6.0499592109408695e-06
28.0,0.0011821354273706675,6.296760602708673e-06
29.0,0.0011698215967044234,1.3534287973016035e-05
30.0,0.0011576359393075109,1.3671816304849926e-05
31.0,0.0011455774074420333,5.6348440011788625e-06
32.0,0.0011336442548781633,1.0683472282835282e-05
33.0,0.0011218355502933264,5.7957659009844065e-06
34.0,0.0011101498967036605,6.1109640228096396e-06
35.0,0.0010985858971253037,6.326777565845987e-06
36.0,0.0010871423874050379,1.0889083569054492e-05
37.0,0.001075817970559001,6.338344064715784e-06
38.0,0.0010646117152646184,5.136087111168308e-06
39.0,0.0010535219917073846,1.0022875358117744e-05
40.0,0.001042547868564725,5.1819229156535584e-06
41.0,0.0010316881816834211,7.004968210821971e-06
42.0,0.0010209414176642895,8.102609172055963e-06
43.0,0.0010103066451847553,2.338011108804494e-05
44.0,0.0009997827000916004,8.533320396963973e-06
45.0,0.0009893683018162847,7.100962193362648e-06
46.0,0.0009790625190362334,5.791001058241818e-06
47.0,0.0009688640129752457,4.9481204769108444e-06
48.0,0.0009587717358954251,7.636951522727031e-06
49.0,0.0009487845818512142,6.501409643533407e-06
50.0,0.0009389015031047165,7.3239630182797555e-06
51.0,0.0009291213355027139,5.895119556953432e-06
52.0,0.0009194430313073099,5.2010564104421064e-06
53.0,0.0009098656009882689,7.936561814858578e-06
