    "Time(sec)"   ,     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,"rms[ProgressVariable]","rms[EnthalpyTot]","rms[MixtureFraction]","LinSolIter",    "LinSolRes"   ,"LinSolIterSpecies","LinSolResSpecies",       "CD"       , "avg_temp_outlet","avg_temp_outlet_scaled","avg_p_center_inlet","avg_p_cocenter_inlet",   "avg_p_inlet"  ,"avg_p_inlet_scaled"
0.4498283439999999, -18.8753483971569,-17.95111749581699,-18.16883086034623,      -19.0036002747118,-12.49700363112651,    -20.18185767603503,           0,-15.65503545645293,                  7,-3.346705089714295,0.005102822183262331, 764.5112284716569,                       1,   4.349490644675879,      4.37619509257862,  4.36284286862725,                   1
0.4036356720000001,-18.87522684356795,-17.95108866983588,-18.16880101519666,     -19.00726591629951,-12.49449440125764,    -20.18823122843843,           0,-15.65500540775447,                  7,-3.375379117093995,0.005102822183262331, 764.5112284716574,       1.000000000000001,   4.349490644675879,      4.37619509257862,  4.36284286862725,                   1
        0.40415862,-18.87503027380985,-17.95106389408978,-18.16880163184313,     -19.00554857080842,-12.49712772410933,    -20.18352324340856,           0,-15.65498561303924,                  7,-3.329122751184617,0.005102822183262331, 764.5112284716575,       1.000000000000001,   4.349490644675879,      4.37619509257862,  4.36284286862725,                   1
0.4044200139999998,-18.87494494709922,-17.95106069079861,-18.16876692127589,     -19.00582795662681,-12.49591423677937,    -20.18435184084187,           0, -15.6549731953555,                  7,-3.347108794310595,0.005102822183262331,  764.511228471658,       1.000000000000002,   4.349490644675879,      4.37619509257862,  4.36284286862725,                   1
0.4042610259999999, -18.8747525575464,-17.95105026089409,-18.16877170994919,     -19.00100371082787, -12.4986153078239,    -20.18551648406322,           0,-15.65496493718877,                  7,-3.332404820133396,0.005102822183262331, 764.5112284716582,       1.000000000000002,   4.349490644675879,      4.37619509257862,  4.36284286862725,                   1
0.4052679989999999,-18.87458869895096,-17.95103951171162,-18.16870776945022,     -19.00104914959163,-12.49810704191608,    -20.18044337176158,           0,-15.65493848016612,                  7,-3.356212004050104,0.005102822183262331, 764.5112284716586,       1.000000000000002,   4.349490644675879,      4.37619509257862,  4.36284286862725,                   1
0.4040084990000001,-18.87452257899171,-17.95102956395084,-18.16867905153551,     -19.00691443759015,-12.49508438069647,    -20.18470060181658,           0,-15.65492296653439,                  7,-3.348636017530587,0.005102822183262331, 764.5112284716593,       1.000000000000003,   4.349490644675879,      4.37619509257862,  4.36284286862725,                   1
0.4043250089999999,-18.87423492645152,-17.95098715451072,-18.16864731130174,     -19.00587188493929,-12.49647450704933,    -20.18179385810345,           0,-15.65488086520003,                  7,-3.332963363865567,0.005102822183262331, 764.5112284716593,       1.000000000000003,   4.349490644675879,      4.37619509257862,  4.36284286862725,                   1
0.4052041050000001,-18.87428969331641,-17.95098661917667,-18.16861216602156,     -19.00170467260827,-12.50151906694989,    -20.18095666356365,           0,-15.65487170317292,                  7,-3.362581539624836,0.005102822183262331, 764.5112284716595,       1.000000000000003,   4.349490644675879,      4.37619509257862,  4.36284286862725,                   1
0.4048801189999995,-18.87406092084883,-17.95096840353037,-18.16856635330528,     -19.00237311006222,-12.49864210117459,    -20.18308077916513,           0, -15.6548439824695,                  7,-3.382093786398385,0.005102822183262331, 764.5112284716599,       1.000000000000004,   4.349490644675879,      4.37619509257862,  4.36284286862725,                   1
0.4034192220000001,-18.87398139278811,-17.95094833530151, -18.1685721853786,      -19.0051781596853,-12.49745947583408,    -20.18659084487702,           0,-15.65483018380827,                  7,-3.366220482874841,0.005102822183262331,   764.51122847166,       1.000000000000004,   4.349490644675879,      4.37619509257862,  4.36284286862725,                   1
0.4039801330000001,-18.87392683167424,-17.95095335707043,-18.16853704640531,     -19.00356266549553,-12.49592202470126,    -20.18484361845837,           0,-15.65482391767424,                  7,-3.392946420332016,0.005102822183262331, 764.5112284716606,       1.000000000000005,   4.349490644675879,      4.37619509257862,  4.36284286862725,                   1
0.4034676050000003,-18.87345578205942,-17.95092489642176,-18.16852109530602,     -19.00375004023329,-12.50095333112108,    -20.18499411756772,           0,-15.65479420890672,                  7,-3.377579623890064,0.005102822183262331, 764.5112284716611,       1.000000000000006,   4.349490644675879,      4.37619509257862,  4.36284286862725,                   1
0.4036352269999997,-18.87324303887901,-17.95091290876503, -18.1685142559534,     -19.00597183244492,-12.49873921294972,    -20.18319063184425,           0,-15.65478151220518,                  7,-3.341827915274258,0.005102822183262331, 764.5112284716612,       1.000000000000006,   4.349490644675879,      4.37619509257862,  4.36284286862725,                   1
0.4041892860000003,-18.87300967696612,-17.95090055550124, -18.1684866153118,     -19.00763492805905,-12.49592263079448,    -20.18265330302613,           0,-15.65476280725329,                  7,-3.350425533613232,0.005102822183262331, 764.5112284716616,       1.000000000000006,   4.349490644675879,      4.37619509257862,  4.36284286862725,                   1
0.4041289590000003,-18.87269922533153,-17.95088383944047,-18.16845707670954,     -19.00753935606387,-12.50060670272962,    -20.18300142099122,           0, -15.6547396376831,                  7,-3.365131314695857,0.005102822183262331, 764.5112284716619,       1.000000000000006,   4.349490644675879,      4.37619509257862,  4.36284286862725,                   1
0.4042979950000003,-18.87241183590189,-17.95086197020376,-18.16841650650833,     -19.01067871939597,-12.50209128498444,    -20.18554454204454,           0, -15.6547100415618,                  7,-3.380726432163103,0.005102822183262331, 764.5112284716622,       1.000000000000007,   4.349490644675879,      4.37619509257862,  4.36284286862725,                   1
