epoch,learning_rate,validation_loss_Beta_Enth,validation_loss_Cp
0.0,0.0015848932089284062,0.009672570042312145,0.0010908754775300622
1.0,0.0015683735255151987,0.008393894881010056,0.0005790484137833118
2.0,0.0015520260203629732,0.006404333282262087,0.0006251093582250178
3.0,0.0015358489472419024,0.005062516778707504,0.0003296749200671911
4.0,0.0015198404435068369,0.004208608064800501,0.00021041395666543394
5.0,0.001503998995758593,0.0037099351175129414,0.00016114054596982896
6.0,0.0014883223921060562,0.003394793951883912,0.00014265626668930054
7.0,0.0014728093519806862,0.003165178233757615,0.00013824846246279776
8.0,0.0014574580127373338,0.002882266417145729,0.0001909620186779648
9.0,0.0014422665117308497,0.002559403656050563,0.00014134857337921858
10.0,0.001427233568392694,0.002202745992690325,0.0001752367679728195
11.0,0.0014123572036623955,0.001994321821257472,0.00012763474660459906
12.0,0.0013976359041407704,0.0017926128348335624,0.00013638300879392773
13.0,0.0013830680400133133,0.0016537538031116128,0.00012330911704339087
14.0,0.0013686519814655185,0.0016752280062064528,0.00015286006964743137
15.0,0.001354386331513524,0.0016975182807072997,0.0002476457739248872
16.0,0.0013402693439275026,0.001467348774895072,0.00024220305203925818
17.0,0.0013262993888929486,0.0012893128441646695,0.0002763744560070336
18.0,0.001312475185841322,0.0010850043036043644,0.00022675572836305946
19.0,0.0012987948721274734,0.0011226130882278085,0.00018290030129719526
20.0,0.0012852572835981846,0.0009402688592672348,0.0003463050816208124
21.0,0.00127186079043895,0.0009933902183547616,0.00010788522922666743
22.0,0.001258603879250586,0.0008236400317400694,0.00020665785996243358
23.0,0.0012454852694645524,0.00075788568938151,0.0003636479377746582
24.0,0.0012325033312663436,0.0008042225963436067,0.00019080191850662231
25.0,0.0012196566676720977,0.0006815688102506101,0.00016955428873188794
26.0,0.0012069439981132746,0.0006398677360266447,0.00012463866733014584
27.0,0.0011943636927753687,0.0060334340669214725,0.0004698287812061608
28.0,0.0011819147039204836,0.002282471163198352,0.00014066844596527517
29.0,0.0011695952853187919,0.001497386721894145,0.00010230137559119612
30.0,0.001157404389232397,0.0013447556411847472,0.00011797720071626827
31.0,0.0011453405022621155,0.001113052829168737,0.00013738160487264395
32.0,0.001133402343839407,0.0008032007608562708,0.00012384758156258613
33.0,0.0011215887498110533,0.0007883885409682989,0.00013812990800943226
34.0,0.0011098980903625488,0.00079095468390733,0.0001676767278695479
35.0,0.0010983295505866408,0.0007118697394616902,0.00016215673531405628
36.0,0.001086881384253502,0.0006338911480270326,0.0001824773062253371
37.0,0.0010755525436252356,0.0007226542802527547,7.590017776237801e-05
38.0,0.0010643418645486236,0.0008878246298991144,8.493804489262402e-05
39.0,0.001053247950039804,0.00039387759170494974,5.5896347475936636e-05
40.0,0.0010422697523608804,0.00047254262608475983,6.819546251790598e-05
41.0,0.0010314059909433126,0.00042185428901575506,0.0002520292473491281
42.0,0.0010206553852185607,0.0003982022753916681,0.00010192520130658522
43.0,0.001010016887448728,0.000596263911575079,6.36142649454996e-05
44.0,0.0009994893334805965,0.0004000763292424381,5.5623913794988766e-05
45.0,0.0009890715591609478,0.0002592254022601992,3.6713732697535306e-05
46.0,0.00097876216750592,0.00035977785591967404,3.9023823774186894e-05
47.0,0.0009685604018159211,0.00030248533585108817,4.956639531883411e-05
48.0,0.0009584648651070893,0.0005435766652226448,3.6131554224994034e-05
49.0,0.0009484745096415281,0.00026941989199258387,4.368228474049829e-05
50.0,0.0009385884623043239,0.00023536093067377806,3.8290068914648145e-05
51.0,0.0009288053843192756,0.0002582441666163504,3.5658660635817796e-05
52.0,0.0009191242279484868,0.0002870101889129728,3.42984167218674e-05
53.0,0.0009095440036617219,0.00047817756421864033,3.542895501595922e-05
54.0,0.0009000636055134237,0.00021693883172702044,3.289247251814231e-05
55.0,0.0008906821021810174,0.00019479529873933643,2.642329127411358e-05
56.0,0.0008813983295112848,0.0014477204531431198,7.602122786920518e-05
57.0,0.0008722112979739904,0.00021192817075643688,2.9478396754711866e-05
58.0,0.0008631200762465596,0.00022070581326261163,2.6563951905700378e-05
59.0,0.0008541236165910959,0.00035466591361910105,3.01755171676632e-05
60.0,0.0008452209876850247,0.0002946424065157771,3.975379513576627e-05
61.0,0.0008364109671674669,0.00032393846777267754,2.4919027055148035e-05
62.0,0.0008276929147541523,0.00025708548491820693,5.484799839905463e-05
63.0,0.0008190657244995236,0.00030725562828592956,2.5744308004505e-05
64.0,0.0008105284650810063,0.0002325248351553455,3.2056781492428854e-05
65.0,0.0008020801469683647,0.00016791299276519567,3.234349060221575e-05
