epoch,learning_rate,validation_loss_Beta_MixFrac
0.0,0.0015848932089284062,0.00025545121752656996
1.0,0.0015683840028941631,6.383616710081697e-05
2.0,0.0015520467422902584,5.2811054047197104e-05
3.0,0.0015358797973021865,5.2649811550509185e-05
4.0,0.0015198810724541545,5.178337232791819e-05
5.0,0.0015040490543469787,2.5254661522922106e-05
6.0,0.0014883819967508316,2.050698094535619e-05
7.0,0.001472878153435886,2.148036401194986e-05
8.0,0.0014575357781723142,1.820856414269656e-05
9.0,0.0014423532411456108,8.951889321906492e-05
10.0,0.0014273286797106266,1.5307925423257984e-05
11.0,0.0014124608132988214,1.5086764506122563e-05
12.0,0.0013977477792650461,1.8451779396855272e-05
13.0,0.0013831880642101169,2.323215812793933e-05
14.0,0.0013687798054888844,1.4341342648549471e-05
15.0,0.0013545218389481306,1.3378790754359215e-05
16.0,0.001340412301942706,1.9532226360752247e-05
17.0,0.001326449797488749,1.0599630513752345e-05
18.0,0.0013126326957717538,1.7631873561185785e-05
19.0,0.0012989594833925366,1.3873355783289298e-05
20.0,0.0012854287633672357,9.405139280715957e-06
21.0,0.0012720389058813453,4.772619649884291e-05
22.0,0.0012587886303663254,1.0471377208887134e-05
23.0,0.0012456763070076704,1.0567711797193624e-05
24.0,0.0012327005388215184,8.410007467318792e-06
25.0,0.0012198600452393293,1.052690640790388e-05
26.0,0.0012071531964465976,1.9191660612705164e-05
27.0,0.0011945788282901049,2.2217765945242718e-05
28.0,0.0011821354273706675,1.0068705705634784e-05
29.0,0.0011698215967044234,9.092792424780782e-06
30.0,0.0011576359393075109,1.1721308510459494e-05
31.0,0.0011455774074420333,8.047995834203903e-06
32.0,0.0011336442548781633,9.494566256762482e-06
33.0,0.0011218355502933264,9.236449841409922e-06
34.0,0.0011101498967036605,9.23650532058673e-06
35.0,0.0010985858971253037,8.055501893977635e-06
36.0,0.0010871423874050379,7.565540727227926e-06
37.0,0.001075817970559001,1.0264299817208666e-05
38.0,0.0010646117152646184,8.76880676514702e-06
39.0,0.0010535219917073846,9.048791071109008e-06
40.0,0.001042547868564725,8.698201781953685e-06
41.0,0.0010316881816834211,1.1719895155692939e-05
42.0,0.0010209414176642895,8.889232958608773e-06
43.0,0.0010103066451847553,7.70471706346143e-06
44.0,0.0009997827000916004,7.69894086261047e-06
45.0,0.0009893683018162847,8.143987543007825e-06
46.0,0.0009790625190362334,8.986679858935531e-06
47.0,0.0009688640129752457,7.383348020084668e-06
48.0,0.0009587717358954251,8.365796020370908e-06
49.0,0.0009487845818512142,7.0559754021815024e-06
50.0,0.0009389015031047165,7.453985290339915e-06
51.0,0.0009291213355027139,1.0145797205041163e-05
52.0,0.0009194430313073099,7.69809958001133e-06
53.0,0.0009098656009882689,8.31145098345587e-06
54.0,0.0009003878221847117,8.710053407412488e-06
55.0,0.0008910088217817247,6.991367172304308e-06
56.0,0.0008817275520414114,8.08252389106201e-06
57.0,0.0008725430234335363,8.539034752175212e-06
58.0,0.0008634540718048811,9.183067959384061e-06
59.0,0.0008544597658328712,7.425771855196217e-06
60.0,0.0008455592324025929,7.468809599231463e-06
61.0,0.0008367513655684888,6.891884822834982e-06
62.0,0.0008280352340079844,7.828540219634306e-06
63.0,0.0008194099646061659,7.29144676370197e-06
64.0,0.0008108744514174759,1.0456327800056897e-05
65.0,0.0008024278795346618,7.208564966276754e-06
66.0,0.0007940693758428097,6.755112281098263e-06
67.0,0.0007857978343963623,7.230271421576617e-06
68.0,0.0007776124984957278,7.356144124059938e-06
69.0,0.0007695124368183315,8.22407855594065e-06
70.0,0.0007614967180415988,6.922664852027083e-06
71.0,0.000753564469050616,6.890259555802913e-06
72.0,0.0007457149331457913,7.086774985509692e-06
73.0,0.0007379470625892282,7.481242391804699e-06
74.0,0.0007302602170966566,1.1632665518845897e-05
75.0,0.000722653407137841,8.799655915936455e-06
76.0,0.0007151258178055286,7.415404070343357e-06
77.0,0.0007076765759848058,7.901683602540288e-06
78.0,0.0007003049831837416,7.458150321326684e-06
79.0,0.0006930102244950831,7.1381564339390025e-06
80.0,0.0006857913685962558,6.242231393116526e-06
81.0,0.0006786477752029896,6.658566690020962e-06
82.0,0.0006715785712003708,6.7569776547316e-06
83.0,0.0006645829998888075,6.349026989482809e-06
84.0,0.0006576603627763689,6.689729616482509e-06
85.0,0.0006508097285404801,6.548972123709973e-06
86.0,0.0006440305151045322,6.709160516038537e-06
87.0,0.0006373218493536115,6.233684871403966e-06
88.0,0.0006306831492111087,7.170972367021022e-06
89.0,0.0006241135997697711,6.5829390223370865e-06
90.0,0.0006176124443300068,6.693150226055877e-06
91.0,0.0006111790426075459,6.581249635928543e-06
92.0,0.0006048126379027963,6.860492703708587e-06
93.0,0.0005985125317238271,6.767392278561601e-06
94.0,0.0005922780255787075,6.4636446950316895e-06
95.0,0.0005861085373908281,5.912761480431072e-06
96.0,0.0005800032522529364,6.315711743809516e-06
97.0,0.000573961588088423,6.176568604132626e-06
98.0,0.000567982904613018,6.021557965141255e-06
99.0,0.0005620663869194686,5.370915005187271e-06
100.0,0.0005562116275541484,5.294847596815089e-06
101.0,0.0005504177534021437,5.7520078371453565e-06
102.0,0.0005446842988021672,6.194625711941626e-06
103.0,0.0005390105070546269,6.126954758656211e-06
104.0,0.0005333958542905748,5.087050794827519e-06
105.0,0.0005278397002257407,5.8011646615341306e-06
106.0,0.0005223413463681936,5.614478141069412e-06
107.0,0.0005169003852643073,5.9634166973410174e-06
108.0,0.0005115160020068288,5.3322423809731845e-06
109.0,0.0005061877309344709,5.630934083455941e-06
110.0,0.0005009149899706244,5.614275778498268e-06
111.0,0.0004956971970386803,5.9540079746511765e-06
112.0,0.0004905337118543684,5.3787784963788e-06
